Team 1,Team 2,Venue,Total Matches,Wins Team 1,Wins Team 2,Draws,Win % Team 1,Win % Team 2,Bat First Win %,Chase Win %
Argentina,Bahamas,"Hurlingham Club Ground, Buenos Aires",1,0,1,0,0.0,100.0,100.0,0.0
Argentina,Bahamas,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0,1,0,0.0,100.0,100.0,0.0
Argentina,Bahamas,"St Albans Club, Buenos Aires",1,1,0,0,100.0,0.0,100.0,0.0
Argentina,Belize,"Sir Vivian Richards Stadium, North Sound, Antigua",1,1,0,0,100.0,0.0,100.0,0.0
Argentina,Belize,"St George's College Ground, Buenos Aires",1,1,0,0,100.0,0.0,0.0,100.0
Argentina,Bermuda,"Belgrano Athletic Club Ground, Buenos Aires",2,0,2,0,0.0,100.0,50.0,50.0
Argentina,Bermuda,"Hurlingham Club Ground, Buenos Aires",1,0,1,0,0.0,100.0,0.0,100.0
Argentina,Bermuda,"St Albans Club, Buenos Aires",1,0,1,0,0.0,100.0,100.0,0.0
Argentina,Brazil,"Reforma Athletic Club, Naucalpan",1,0,1,0,0.0,100.0,0.0,100.0
Argentina,Brazil,"St George's College Ground, Buenos Aires",1,1,0,0,100.0,0.0,0.0,100.0
Argentina,Brazil,"Woodley Cricket Field, Los Angeles",2,0,2,0,0.0,100.0,0.0,100.0
Argentina,Canada,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0,1,0,0.0,100.0,100.0,0.0
Argentina,Canada,"Woodley Cricket Field, Los Angeles",2,0,2,0,0.0,100.0,50.0,50.0
Argentina,Cayman Islands,"Belgrano Athletic Club Ground, Buenos Aires",1,0,1,0,0.0,100.0,100.0,0.0
Argentina,Cayman Islands,"Hurlingham Club Ground, Buenos Aires",1,0,1,0,0.0,100.0,0.0,100.0
Argentina,Chile,San Albano,2,2,0,0,100.0,0.0,50.0,50.0
Argentina,Chile,St Georges Quilmes,1,1,0,0,100.0,0.0,100.0,0.0
Argentina,Mexico,"Belgrano Athletic Club Ground, Buenos Aires",1,1,0,0,100.0,0.0,0.0,100.0
Argentina,Mexico,Sao Fernando Polo and Cricket Club,1,1,0,0,100.0,0.0,0.0,100.0
Argentina,Mexico,St Georges Quilmes,1,1,0,0,100.0,0.0,0.0,100.0
Argentina,Panama,"Hurlingham Club Ground, Buenos Aires",1,0,1,0,0.0,100.0,0.0,100.0
Argentina,Panama,"St Albans Club, Buenos Aires",1,1,0,0,100.0,0.0,100.0,0.0
Argentina,Suriname,"Hurlingham Club Ground, Buenos Aires",1,1,0,0,100.0,0.0,100.0,0.0
Argentina,United States of America,"Sir Vivian Richards Stadium, North Sound, Antigua",1,0,1,0,0.0,100.0,100.0,0.0
Argentina,United States of America,"Woodley Cricket Field, Los Angeles",2,0,2,0,0.0,100.0,0.0,100.0
Australia,Bangladesh,"Basin Reserve, Wellington",1,1,0,0,100.0,0.0,0.0,100.0
Australia,Bangladesh,Dubai International Cricket Stadium,1,1,0,0,100.0,0.0,0.0,100.0
Australia,Bangladesh,Kennington Oval,1,0,0,1,0.0,0.0,0.0,0.0
Australia,Bangladesh,M Chinnaswamy Stadium,1,1,0,0,100.0,0.0,0.0,100.0
Australia,Bangladesh,"Maharashtra Cricket Association Stadium, Pune",1,1,0,0,100.0,0.0,0.0,100.0
