Teams,Total Matches,Wins Team 1,Wins Team 2,Draws
Argentina vs Bahamas,3,3,0,0
Argentina vs Belize,2,2,0,0
Argentina vs Bermuda,4,3,1,0
Argentina vs Brazil,4,2,2,0
Argentina vs Canada,3,2,1,0
Argentina vs Cayman Islands,2,1,1,0
Argentina vs Chile,3,2,1,0
Argentina vs Mexico,3,1,2,0
Argentina vs Panama,2,1,1,0
Argentina vs Suriname,1,0,1,0
Argentina vs United States of America,3,2,1,0
Australia vs Bangladesh,22,10,11,1
Australia vs Barbados,1,0,1,0
Australia vs England,124,57,57,10
Australia vs India,125,55,59,11
Australia vs Ireland,12,5,7,0
Australia vs Namibia,1,0,1,0
Australia vs Netherlands,1,1,0,0
Australia vs New Zealand,80,46,31,3
Australia vs Oman,1,1,0,0
Australia vs Pakistan,65,38,21,6
Australia vs Scotland,5,2,3,0
Australia vs South Africa,60,33,25,2
Australia vs Sri Lanka,56,27,28,1
Australia vs United Arab Emirates,1,0,1,0
Australia vs West Indies,47,22,23,2
Australia vs Zimbabwe,5,1,4,0
Austria vs Czech Republic,4,1,3,0
Austria vs Denmark,2,0,2,0
Austria vs France,1,0,1,0
Austria vs Germany,10,6,4,0
Austria vs Guernsey,1,0,1,0
Austria vs Hungary,3,1,2,0
Austria vs Ireland,1,1,0,0
Austria vs Israel,1,0,1,0
Austria vs Jersey,1,0,1,0
Austria vs Luxembourg,5,3,2,0
Austria vs Malta,2,0,2,0
Austria vs Norway,1,0,1,0
Austria vs Portugal,1,0,1,0
Austria vs Romania,1,0,1,0
Austria vs Scotland,1,1,0,0
Austria vs Slovenia,1,1,0,0
Austria vs Sweden,2,2,0,0
Bahamas vs Belize,1,1,0,0
Bahamas vs Bermuda,3,2,1,0
Bahamas vs Brazil,1,1,0,0
Bahamas vs Cayman Islands,2,1,1,0
Bahamas vs Mexico,1,1,0,0
Bahamas vs Panama,3,2,1,0
Bahamas vs Suriname,1,1,0,0
Bahamas vs United States of America,1,0,1,0
Bahrain vs Bhutan,2,2,0,0
Bahrain vs Cambodia,2,1,1,0
Bahrain vs Canada,3,0,3,0
Bahrain vs Germany,1,0,1,0
Bahrain vs Hong Kong,3,2,1,0
Bahrain vs Indonesia,6,3,3,0
Bahrain vs Ireland,1,1,0,0
Bahrain vs Kuwait,14,5,8,1
Bahrain vs Malaysia,7,3,4,0
Bahrain vs Maldives,1,0,1,0
Bahrain vs Nepal,2,0,2,0
Bahrain vs Oman,6,4,2,0
Bahrain vs Philippines,1,1,0,0
Bahrain vs Qatar,13,6,6,1
Bahrain vs Saudi Arabia,8,5,3,0
Bahrain vs Singapore,5,1,3,1
Bahrain vs Tanzania,1,1,0,0
Bahrain vs Thailand,1,0,1,0
Bahrain vs Uganda,2,1,1,0
Bahrain vs United Arab Emirates,8,5,3,0
Bahrain vs Vanuatu,1,1,0,0
Bangladesh vs England,20,11,9,0
Bangladesh vs India,57,28,27,2
Bangladesh vs Ireland,30,13,13,4
Bangladesh vs Kenya,1,1,0,0
Bangladesh vs Malaysia,5,4,1,0
Bangladesh vs Maldives,1,1,0,0
Bangladesh vs Nepal,2,1,1,0
Bangladesh vs Netherlands,5,4,1,0
Bangladesh vs New Zealand,56,32,20,4
Bangladesh vs Oman,2,2,0,0
Bangladesh vs Pakistan,43,18,23,2
Bangladesh vs Papua New Guinea,3,2,1,0
Bangladesh vs Scotland,7,4,3,0
Bangladesh vs South Africa,46,25,18,3
Bangladesh vs Sri Lanka,55,27,23,5
Bangladesh vs Thailand,5,2,3,0
Bangladesh vs United Arab Emirates,4,3,1,0
Bangladesh vs United States of America,5,3,2,0
Bangladesh vs West Indies,52,28,23,1
Bangladesh vs Zimbabwe,44,27,17,0
Barbados vs India,1,1,0,0
Barbados vs Pakistan,1,1,0,0
Belgium vs Croatia,1,1,0,0
Belgium vs Czech Republic,1,1,0,0
Belgium vs Denmark,1,1,0,0
Belgium vs France,3,0,2,1
Belgium vs Germany,2,0,2,0
Belgium vs Gibraltar,1,0,1,0
Belgium vs Hungary,1,0,1,0
Belgium vs Jersey,1,1,0,0
Belgium vs Luxembourg,2,2,0,0
Belgium vs Malta,7,2,5,0
Belgium vs Portugal,1,0,1,0
Belgium vs Serbia,1,1,0,0
Belgium vs Spain,1,0,1,0
Belgium vs Switzerland,1,0,1,0
Belize vs Bermuda,2,1,1,0
Belize vs Brazil,1,0,1,0
Belize vs Canada,1,1,0,0
Belize vs Cayman Islands,1,1,0,0
Belize vs Panama,2,1,1,0
Belize vs Suriname,1,0,1,0
Belize vs United States of America,1,0,1,0
Bermuda vs Brazil,1,1,0,0
Bermuda vs Canada,3,2,0,1
Bermuda vs Cayman Islands,5,5,0,0
Bermuda vs Kenya,1,0,1,0
Bermuda vs Mexico,1,0,1,0
Bermuda vs Namibia,1,0,1,0
Bermuda vs Netherlands,1,0,1,0
Bermuda vs Panama,4,1,3,0
Bermuda vs Papua New Guinea,1,0,1,0
Bermuda vs Scotland,1,0,1,0
