match_id,date,team_1,team_2,winner,win_by_runs,win_by_wickets,toss_winner,toss_decision,venue,city,match_type
1466427,2025-03-05,New Zealand,South Africa,New Zealand,50,0,New Zealand,bat,"Gaddafi Stadium, Lahore",Lahore,ODI
1466426,2025-03-04,Australia,India,India,0,4,Australia,bat,Dubai International Cricket Stadium,Dubai,ODI
1443568,2025-03-04,Sri Lanka,New Zealand,Draw,0,0,New Zealand,field,"McLean Park, Napier",Napier,ODI
1474263,2025-03-04,Singapore,Bahrain,Draw,0,0,Singapore,bat,Singapore National Cricket Ground,Singapore,T20
1466425,2025-03-02,India,New Zealand,India,44,0,New Zealand,field,Dubai International Cricket Stadium,Dubai,ODI
1474262,2025-03-02,Singapore,Bahrain,Bahrain,0,8,Singapore,bat,Singapore National Cricket Ground,Singapore,T20
1466424,2025-03-01,England,South Africa,South Africa,0,7,England,bat,"National Stadium, Karachi",Karachi,ODI
1474261,2025-03-01,Singapore,Bahrain,Bahrain,0,7,Singapore,bat,Singapore National Cricket Ground,Singapore,T20
1474260,2025-02-28,Bahrain,Singapore,Bahrain,31,0,Singapore,field,Singapore National Cricket Ground,Singapore,T20
1467706,2025-02-25,Zimbabwe,Ireland,Draw,0,0,Ireland,field,Harare Sports Club,Harare,T20
1471826,2025-02-24,Indonesia,Bahrain,Bahrain,0,5,Indonesia,bat,Udayana Cricket Ground,Bali,T20
1466419,2025-02-24,Bangladesh,New Zealand,New Zealand,0,5,New Zealand,field,Rawalpindi Cricket Stadium,Rawalpindi,ODI
1471825,2025-02-23,Bahrain,Indonesia,Bahrain,112,0,Indonesia,field,Udayana Cricket Ground,Bali,T20
1467705,2025-02-23,Ireland,Zimbabwe,Zimbabwe,0,3,Zimbabwe,field,Harare Sports Club,Harare,T20
1473147,2025-02-23,Oman,United States of America,United States of America,0,8,Oman,bat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,T20
1466418,2025-02-23,Pakistan,India,India,0,6,Pakistan,bat,Dubai International Cricket Stadium,Dubai,ODI
1471824,2025-02-22,Bahrain,Indonesia,Indonesia,0,8,Indonesia,field,Udayana Cricket Ground,Bali,T20
1466417,2025-02-22,England,Australia,Australia,0,5,Australia,field,"Gaddafi Stadium, Lahore",Lahore,ODI
1467704,2025-02-22,Zimbabwe,Ireland,Draw,0,0,Ireland,field,Harare Sports Club,Harare,T20
1473146,2025-02-21,Oman,United States of America,United States of America,0,4,United States of America,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,T20
1471823,2025-02-20,Indonesia,Bahrain,Bahrain,0,10,Bahrain,field,Udayana Cricket Ground,Bali,T20
1466415,2025-02-20,Bangladesh,India,India,0,6,Bangladesh,bat,Dubai International Cricket Stadium,Dubai,ODI
1473145,2025-02-20,Oman,United States of America,United States of America,0,7,United States of America,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,T20
1466414,2025-02-19,New Zealand,Pakistan,New Zealand,60,0,Pakistan,field,"National Stadium, Karachi",Karachi,ODI
1471822,2025-02-19,Bahrain,Indonesia,Bahrain,63,0,Indonesia,field,Udayana Cricket Ground,Bali,T20
1467703,2025-02-18,Ireland,Zimbabwe,Zimbabwe,0,9,Zimbabwe,field,Harare Sports Club,Harare,ODI
1468884,2025-02-18,United States of America,Oman,United States of America,57,0,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,ODI
1468883,2025-02-16,Namibia,Oman,Oman,0,2,Namibia,bat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,ODI
1467702,2025-02-16,Zimbabwe,Ireland,Ireland,0,6,Ireland,field,Harare Sports Club,Harare,ODI
1467701,2025-02-14,Zimbabwe,Ireland,Zimbabwe,49,0,Ireland,field,Harare Sports Club,Harare,ODI
1468882,2025-02-14,United States of America,Namibia,United States of America,70,0,Namibia,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,ODI
1469168,2025-02-14,Sri Lanka,Australia,Sri Lanka,174,0,Sri Lanka,bat,"R Premadasa Stadium, Colombo",Colombo,ODI
1442223,2025-02-14,Pakistan,New Zealand,New Zealand,0,5,Pakistan,bat,"National Stadium, Karachi",Karachi,ODI
1468881,2025-02-12,United States of America,Oman,Oman,0,7,United States of America,bat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,ODI
1459908,2025-02-12,Sri Lanka,Australia,Sri Lanka,49,0,Sri Lanka,bat,"R Premadasa Stadium, Colombo",Colombo,ODI
1442222,2025-02-12,South Africa,Pakistan,Pakistan,0,6,South Africa,bat,"National Stadium, Karachi",Karachi,ODI
1439906,2025-02-12,India,England,India,142,0,England,field,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,ODI
1468880,2025-02-10,Namibia,Oman,Namibia,23,0,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,ODI
1442221,2025-02-10,South Africa,New Zealand,New Zealand,0,6,New Zealand,field,"Gaddafi Stadium, Lahore",Lahore,ODI
1439905,2025-02-09,England,India,India,0,4,England,bat,"Barabati Stadium, Cuttack",Cuttack,ODI
1442220,2025-02-08,New Zealand,Pakistan,New Zealand,78,0,New Zealand,bat,"Gaddafi Stadium, Lahore",Lahore,ODI
1468879,2025-02-08,United States of America,Namibia,United States of America,114,0,Namibia,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,ODI
1468731,2025-02-07,Nepal,Thailand,Thailand,0,7,Nepal,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1459907,2025-02-06,Sri Lanka,Australia,Australia,0,9,Sri Lanka,bat,Galle International Stadium,Galle,Test
1468732,2025-02-06,Thailand,Netherlands,Netherlands,0,1,Thailand,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1467700,2025-02-06,Ireland,Zimbabwe,Ireland,63,0,Ireland,bat,"Queens Sports Club, Bulawayo",Bulawayo,Test
1439904,2025-02-06,England,India,India,0,4,England,bat,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,ODI
1470190,2025-02-05,Malta,Austria,Austria,0,6,Austria,field,Marsa Sports Club,Marsa,T20
1470191,2025-02-05,Austria,Hungary,Hungary,0,2,Hungary,field,Marsa Sports Club,Marsa,T20
1468730,2025-02-05,Nepal,Netherlands,Netherlands,0,10,Nepal,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1470188,2025-02-04,Hungary,Austria,Austria,0,6,Hungary,bat,Marsa Sports Club,Marsa,T20
1470189,2025-02-04,Malta,Hungary,Hungary,0,8,Malta,bat,Marsa Sports Club,Marsa,T20
1468728,2025-02-04,Thailand,Nepal,Thailand,5,0,Thailand,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1468729,2025-02-03,Thailand,Netherlands,Thailand,17,0,Netherlands,field,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1470186,2025-02-03,Hungary,Malta,Hungary,8,0,Malta,field,Marsa Sports Club,Marsa,T20
1470187,2025-02-03,Malta,Austria,Austria,0,6,Austria,field,Marsa Sports Club,Marsa,T20
1439903,2025-02-02,India,England,India,150,0,England,field,"Wankhede Stadium, Mumbai",Mumbai,T20
1468727,2025-02-02,Netherlands,Nepal,Netherlands,15,0,Netherlands,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1468725,2025-02-01,Nepal,Thailand,Thailand,0,4,Nepal,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1439902,2025-01-31,India,England,India,15,0,England,field,"Maharashtra Cricket Association Stadium, Pune",Pune,T20
1468726,2025-01-31,Netherlands,Thailand,Thailand,0,8,Netherlands,bat,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1468404,2025-01-31,Bangladesh,West Indies,West Indies,0,5,West Indies,field,"Warner Park, Basseterre, St Kitts",Basseterre,T20
1426629,2025-01-30,England,Australia,Australia,122,0,Australia,field,Melbourne Cricket Ground,Melbourne,Test
1468724,2025-01-30,Netherlands,Nepal,Netherlands,20,0,Nepal,field,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,T20
1459906,2025-01-29,Australia,Sri Lanka,Australia,242,0,Australia,bat,Galle International Stadium,Galle,Test
1468403,2025-01-29,West Indies,Bangladesh,West Indies,106,0,Bangladesh,field,"Warner Park, Basseterre, St Kitts",Basseterre,T20
1439901,2025-01-28,England,India,England,26,0,India,field,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,T20
1468402,2025-01-27,Bangladesh,West Indies,West Indies,0,8,Bangladesh,bat,"Warner Park, Basseterre, St Kitts",Basseterre,T20
1442219,2025-01-25,West Indies,Pakistan,West Indies,120,0,West Indies,bat,Multan Cricket Stadium,Multan,Test
1426628,2025-01-25,Australia,England,Australia,72,0,Australia,bat,Adelaide Oval,Adelaide,T20
1439900,2025-01-25,England,India,India,0,2,India,field,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,T20
1468401,2025-01-24,Bangladesh,West Indies,West Indies,0,8,Bangladesh,bat,"Warner Park, Basseterre, St Kitts",Basseterre,ODI
1426627,2025-01-23,Australia,England,Australia,6,0,England,field,"Manuka Oval, Canberra",Canberra,T20
1439899,2025-01-22,England,India,India,0,7,India,field,"Eden Gardens, Kolkata",Kolkata,T20
1468400,2025-01-21,Bangladesh,West Indies,Bangladesh,60,0,West Indies,field,"Warner Park, Basseterre, St Kitts",Basseterre,ODI
1426626,2025-01-20,Australia,England,Australia,57,0,England,field,Sydney Cricket Ground,Sydney,T20
1468399,2025-01-19,Bangladesh,West Indies,West Indies,0,9,West Indies,field,"Warner Park, Basseterre, St Kitts",Basseterre,ODI
1426625,2025-01-17,Australia,England,Australia,86,0,Australia,bat,"Bellerive Oval, Hobart",Hobart,ODI
1442218,2025-01-17,Pakistan,West Indies,Pakistan,127,0,Pakistan,bat,Multan Cricket Stadium,Multan,Test
1459899,2025-01-15,India,Ireland,India,304,0,India,bat,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,ODI
1426624,2025-01-14,Australia,England,Australia,21,0,England,field,"Junction Oval, Melbourne",Melbourne,ODI
1426623,2025-01-12,England,Australia,Australia,0,4,Australia,field,"North Sydney Oval, Sydney",Sydney,ODI
1459898,2025-01-12,India,Ireland,India,116,0,India,bat,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,ODI
1443548,2025-01-11,Sri Lanka,New Zealand,Sri Lanka,140,0,Sri Lanka,bat,"Eden Park, Auckland",Auckland,ODI
1459897,2025-01-10,Ireland,India,India,0,6,Ireland,bat,"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,ODI
