Venue,Total Matches,Toss Win %,Bat First Win %,Bowl First Win %,Venue Type
"Gaddafi Stadium, Lahore",24,62.5,66.66666666666666,58.333333333333336,Batting-Friendly
Dubai International Cricket Stadium,120,57.49999999999999,58.18181818181818,56.92307692307692,Batting-Friendly
"McLean Park, Napier",5,40.0,0.0,66.66666666666666,Bowling-Friendly
Singapore National Cricket Ground,17,29.411764705882355,28.57142857142857,33.33333333333333,Bowling-Friendly
"National Stadium, Karachi",38,34.21052631578947,31.818181818181817,37.5,Bowling-Friendly
Harare Sports Club,127,48.818897637795274,48.57142857142857,48.91304347826087,Bowling-Friendly
Udayana Cricket Ground,42,35.714285714285715,27.77777777777778,41.66666666666667,Bowling-Friendly
Rawalpindi Cricket Stadium,22,59.09090909090909,27.27272727272727,90.9090909090909,Bowling-Friendly
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),127,51.181102362204726,40.476190476190474,56.470588235294116,Bowling-Friendly
"R Premadasa Stadium, Colombo",34,44.11764705882353,39.130434782608695,54.54545454545454,Bowling-Friendly
"Narendra Modi Stadium, Ahmedabad",13,61.53846153846154,66.66666666666666,57.14285714285714,Batting-Friendly
"Barabati Stadium, Cuttack",2,50.0,0.0,100.0,Bowling-Friendly
"Tribhuvan University International Cricket Ground, Kirtipur",72,41.66666666666667,36.666666666666664,45.23809523809524,Bowling-Friendly
Galle International Stadium,31,58.06451612903226,55.172413793103445,100.0,Bowling-Friendly
"Queens Sports Club, Bulawayo",35,42.857142857142854,52.63157894736842,31.25,Batting-Friendly
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",3,33.33333333333333,0.0,100.0,Bowling-Friendly
Marsa Sports Club,58,48.275862068965516,40.0,60.86956521739131,Bowling-Friendly
"Wankhede Stadium, Mumbai",16,50.0,66.66666666666666,28.57142857142857,Batting-Friendly
"Maharashtra Cricket Association Stadium, Pune",7,42.857142857142854,66.66666666666666,25.0,Batting-Friendly
"Warner Park, Basseterre, St Kitts",11,54.54545454545454,0.0,75.0,Bowling-Friendly
Melbourne Cricket Ground,39,58.97435897435898,53.333333333333336,62.5,Bowling-Friendly
"Saurashtra Cricket Association Stadium, Rajkot",8,62.5,83.33333333333334,0.0,Batting-Friendly
Multan Cricket Stadium,12,66.66666666666666,77.77777777777779,33.33333333333333,Batting-Friendly
Adelaide Oval,35,42.857142857142854,47.05882352941176,38.88888888888889,Batting-Friendly
"MA Chidambaram Stadium, Chepauk, Chennai",10,50.0,50.0,50.0,Neutral
"Manuka Oval, Canberra",9,33.33333333333333,0.0,37.5,Bowling-Friendly
"Eden Gardens, Kolkata",11,54.54545454545454,57.14285714285714,50.0,Batting-Friendly
Sydney Cricket Ground,46,43.47826086956522,53.125,21.428571428571427,Batting-Friendly
"Bellerive Oval, Hobart",15,20.0,22.22222222222222,16.666666666666664,Batting-Friendly
"Junction Oval, Melbourne",5,40.0,0.0,50.0,Bowling-Friendly
