venue,win_by_runs,win_by_wickets,matches_played,venue_category
"7he Sevens Stadium, Dubai",0.0,8.0,1,Bowling-Friendly
"Achimota Senior Secondary School A Field, Accra",26.25,2.6875,16,Balanced
"Achimota Senior Secondary School B Field, Accra",36.11111111111112,1.8888888888888888,9,Batting-Friendly
Adelaide Oval,41.885714285714286,3.2,35,Balanced
Affies Park,0.0,5.0,1,Bowling-Friendly
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),19.5748031496063,3.456692913385827,127,Balanced
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),47.12820512820513,2.923076923076923,39,Batting-Friendly
Allan Border Field,46.90909090909091,3.727272727272727,11,Balanced
"Allan Border Field, Brisbane",24.142857142857142,5.142857142857143,7,Balanced
Amini Park,34.333333333333336,3.0,6,Balanced
"Amini Park, Port Moresby",38.05882352941177,2.0588235294117645,17,Batting-Friendly
"Arnos Vale Ground, Kingstown, St Vincent",26.83333333333333,0.0,6,Balanced
Arun Jaitley Stadium,22.0,1.75,4,Balanced
"Arun Jaitley Stadium, Delhi",71.0,3.2857142857142856,7,Balanced
Asian Institute of Technology Ground,33.833333333333336,2.583333333333333,12,Batting-Friendly
Barabati Stadium,27.0,2.5,4,Balanced
"Barabati Stadium, Cuttack",0.0,4.0,2,Balanced
Barsapara Cricket Stadium,8.4,4.2,5,Bowling-Friendly
"Barsapara Cricket Stadium, Guwahati",27.666666666666668,1.6666666666666667,3,Balanced
Basin Reserve,51.07142857142857,2.142857142857143,14,Batting-Friendly
"Basin Reserve, Wellington",59.94736842105263,2.263157894736842,19,Batting-Friendly
Bay Oval,28.666666666666668,2.1481481481481484,27,Balanced
"Bay Oval, Mount Maunganui",49.72222222222222,1.6111111111111112,18,Batting-Friendly
Bayer Uerdingen Cricket Ground,24.68888888888889,2.555555555555556,45,Balanced
"Bayuemas Oval, Kuala Lumpur",30.970149253731343,3.343283582089552,67,Balanced
"Belgrano Athletic Club Ground, Buenos Aires",38.8,2.5,10,Batting-Friendly
Bellerive Oval,53.888888888888886,2.2222222222222223,9,Batting-Friendly
"Bellerive Oval, Hobart",23.73333333333333,3.2666666666666666,15,Balanced
Bermuda National Stadium,0.0,4.0,1,Balanced
Bert Sutcliffe Oval,26.166666666666668,4.333333333333333,6,Balanced
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,3.0,3.5,2,Balanced
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,10.142857142857142,6.428571428571429,7,Bowling-Friendly
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",43.57142857142857,2.2857142857142856,7,Batting-Friendly
Boland Park,46.0,2.333333333333333,9,Batting-Friendly
"Boland Park, Paarl",37.6,2.1,10,Batting-Friendly
Botswana Cricket Association Oval 1,25.5,5.875,8,Balanced
"Botswana Cricket Association Oval 1, Gaborone",55.18181818181818,3.757575757575758,33,Balanced
Botswana Cricket Association Oval 2,31.5,4.75,4,Balanced
"Botswana Cricket Association Oval 2, Gaborone",69.0,2.875,16,Batting-Friendly
Brabourne Stadium,39.625,4.625,8,Balanced
"Brabourne Stadium, Mumbai",27.33333333333333,0.0,3,Balanced
Bready,0.0,8.0,1,Bowling-Friendly
"Bready Cricket Club, Magheramason",9.2,3.8,5,Balanced
"Bready Cricket Club, Magheramason, Bready",23.125,1.125,8,Balanced
"Brian Lara Stadium, Tarouba",0.0,6.666666666666667,3,Bowling-Friendly
"Brian Lara Stadium, Tarouba, Trinidad",35.45454545454545,3.1818181818181817,11,Balanced
Brisbane Cricket Ground,0.0,3.0,1,Balanced
"Brisbane Cricket Ground, Woolloongabba",31.384615384615383,3.1538461538461537,13,Balanced
"Brisbane Cricket Ground, Woolloongabba, Brisbane",14.77777777777778,1.6666666666666667,9,Balanced
Buffalo Park,42.875,2.25,8,Batting-Friendly
"Buffalo Park, East London",22.615384615384617,2.3846153846153846,13,Balanced
