venue,win_by_runs,win_by_wickets,matches_played
"7he Sevens Stadium, Dubai",0.0,8.0,1
"Achimota Senior Secondary School A Field, Accra",26.25,2.6875,16
"Achimota Senior Secondary School B Field, Accra",36.111111111111114,1.8888888888888888,9
Adelaide Oval,41.885714285714286,3.2,35
Affies Park,0.0,5.0,1
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),19.5748031496063,3.456692913385827,127
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),47.12820512820513,2.923076923076923,39
Allan Border Field,46.90909090909091,3.727272727272727,11
"Allan Border Field, Brisbane",24.142857142857142,5.142857142857143,7
Amini Park,34.333333333333336,3.0,6
"Amini Park, Port Moresby",38.05882352941177,2.0588235294117645,17
"Arnos Vale Ground, Kingstown, St Vincent",26.833333333333332,0.0,6
Arun Jaitley Stadium,22.0,1.75,4
"Arun Jaitley Stadium, Delhi",71.0,3.2857142857142856,7
Asian Institute of Technology Ground,33.833333333333336,2.5833333333333335,12
Barabati Stadium,27.0,2.5,4
"Barabati Stadium, Cuttack",0.0,4.0,2
Barsapara Cricket Stadium,8.4,4.2,5
"Barsapara Cricket Stadium, Guwahati",27.666666666666668,1.6666666666666667,3
Basin Reserve,51.07142857142857,2.142857142857143,14
"Basin Reserve, Wellington",59.94736842105263,2.263157894736842,19
Bay Oval,28.666666666666668,2.1481481481481484,27
"Bay Oval, Mount Maunganui",49.72222222222222,1.6111111111111112,18
Bayer Uerdingen Cricket Ground,24.68888888888889,2.5555555555555554,45
"Bayuemas Oval, Kuala Lumpur",30.970149253731343,3.343283582089552,67
"Belgrano Athletic Club Ground, Buenos Aires",38.8,2.5,10
Bellerive Oval,53.888888888888886,2.2222222222222223,9
"Bellerive Oval, Hobart",23.733333333333334,3.2666666666666666,15
Bermuda National Stadium,0.0,4.0,1
Bert Sutcliffe Oval,26.166666666666668,4.333333333333333,6
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,3.0,3.5,2
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,10.142857142857142,6.428571428571429,7
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",43.57142857142857,2.2857142857142856,7
