player_id,name,team,last_match_date,formats_played
dcce6f09,DA Warner,Australia,2024-06-24,"TEST,ODI,T20"
508a1ea7,SE Marsh,Australia,2019-06-15,"TEST,ODI,T20"
331ea488,UT Khawaja,Australia,2025-02-06,"TEST,ODI,T20"
30a45b23,SPD Smith,Australia,2025-03-04,"TEST,ODI,T20"
864c199e,AC Voges,Australia,2016-11-12,"TEST,ODI,T20"
3d8feaf8,MR Marsh,Australia,2024-12-26,"TEST,ODI,T20"
a22fb7b5,PM Nevill,Australia,2016-11-12,"TEST,T20"
3fb19989,MA Starc,Australia,2025-02-06,"TEST,ODI,T20"
bd93fea4,PM Siddle,Australia,2019-09-12,"TEST,ODI,T20"
03806cf8,JR Hazlewood,Australia,2024-12-14,"TEST,ODI,T20"
96a6a7ad,NM Lyon,Australia,2025-02-06,"TEST,ODI,T20"
13bee186,SC Cook,South Africa,2017-03-16,TEST
33085ffb,D Elgar,South Africa,2024-01-03,"TEST,ODI"
e798611a,HM Amla,South Africa,2019-06-28,"TEST,T20,ODI"
2e8994e7,JP Duminy,South Africa,2019-07-06,"TEST,T20,ODI"
3355b542,F du Plessis,South Africa,2021-02-04,"TEST,T20,ODI"
9ffd1ac1,T Bavuma,South Africa,2025-03-05,"TEST,ODI,T20"
372455c4,Q de Kock,South Africa,2024-06-29,"TEST,T20,ODI"
cfe70281,VD Philander,South Africa,2020-01-24,"TEST,T20,ODI"
0b60eb09,KA Maharaj,South Africa,2025-03-05,"TEST,ODI,T20"
e62dd25d,K Rabada,South Africa,2025-03-05,"TEST,ODI,T20"
8fd1a8f5,DW Steyn,South Africa,2020-02-21,"TEST,ODI,T20"
7a5f232a,JA Burns,Australia,2024-06-16,"TEST,T20,ODI"
9b4935c8,CJ Ferguson,Australia,2016-11-12,"TEST,ODI,T20"
f048bb41,JM Mennie,Australia,2016-11-12,"TEST,ODI"
a9da7784,KJ Abbott,South Africa,2017-01-02,"TEST,T20,ODI"
218d4d78,MT Renshaw,Australia,2023-02-17,TEST
ada15e88,PSP Handscomb,Australia,2023-03-09,"TEST,ODI,T20"
44afbf2d,NJ Maddinson,Australia,2018-07-06,"TEST,T20"
afa7e784,MS Wade,Australia,2024-06-24,"TEST,ODI,T20"
bc773eeb,JM Bird,Australia,2017-12-26,TEST
a03bba42,T Shamsi,South Africa,2025-02-12,"TEST,ODI,T20"
96a2336e,Sami Aslam,Pakistan,2017-10-06,"TEST,ODI"
211de69f,Azhar Ali,Pakistan,2022-12-17,"TEST,ODI"
