balls_faced,runs,innings_played,fours,innings,strike_rate,sixes,batting_average,player
6974,6623.0,154,701.0,154,94.96702036134212,125.0,43.006493506493506,DA Warner
2649,2708.0,68,307.0,68,102.22725556813892,66.0,39.8235294117647,TM Head
6653,5668.0,151,511.0,151,85.19464903051255,57.0,37.5364238410596,SPD Smith
92,75.0,4,6.0,4,81.52173913043478,3.0,18.75,CA Lynn
2953,2762.0,87,255.0,87,93.5320013545547,92.0,31.74712643678161,MR Marsh
3054,3695.0,132,354.0,132,120.98886705959397,138.0,27.992424242424242,GJ Maxwell
2226,1792.0,82,127.0,82,80.50314465408806,33.0,21.853658536585368,MS Wade
1018,1025.0,51,82.0,51,100.68762278978389,29.0,20.098039215686274,JP Faulkner
652,525.0,58,42.0,58,80.52147239263803,12.0,9.051724137931034,PJ Cummins
758,573.0,73,42.0,73,75.59366754617413,14.0,7.8493150684931505,MA Starc
28,4.0,5,,5,14.285714285714285,,0.8,B Stanlake
2478,1806.0,52,164.0,52,72.88135593220339,14.0,34.73076923076923,Azhar Ali
692,787.0,24,102.0,24,113.72832369942196,27.0,32.791666666666664,Sharjeel Khan
8347,6351.0,202,635.0,202,76.08721696417875,106.0,31.440594059405942,Mohammad Hafeez
6714,5808.0,119,542.0,119,86.50580875781948,60.0,48.80672268907563,Babar Azam
3626,3032.0,108,257.0,108,83.61831218974076,48.0,28.074074074074073,Umar Akmal
2889,2474.0,75,206.0,75,85.63516787815854,31.0,32.986666666666665,Mohammad Rizwan
860,937.0,39,87.0,39,108.95348837209302,19.0,24.025641025641026,Imad Wasim
221,193.0,12,15.0,12,87.33031674208145,2.0,16.083333333333332,Mohammad Nawaz (3)
457,363.0,30,32.0,30,79.43107221006565,8.0,12.1,Mohammad Amir
863,725.0,65,54.0,65,84.00926998841251,29.0,11.153846153846153,Wahab Riaz
331,377.0,37,28.0,37,113.89728096676737,23.0,10.18918918918919,Hasan Ali
1865,1539.0,38,149.0,38,82.5201072386059,13.0,40.5,UT Khawaja
164,131.0,35,14.0,35,79.8780487804878,3.0,3.742857142857143,JR Hazlewood
1986,1312.0,56,102.0,56,66.06243705941591,5.0,23.428571428571427,Asad Shafiq
7309,5981.0,207,475.0,207,81.83061978382817,93.0,28.893719806763286,Shoaib Malik
656,632.0,20,47.0,20,96.34146341463415,6.0,31.6,PSP Handscomb
134,68.0,31,4.0,31,50.74626865671642,1.0,2.193548387096774,Junaid Khan
6135,5188.0,139,513.0,139,84.56397718011411,118.0,37.32374100719424,AJ Finch
3672,3011.0,83,222.0,83,81.99891067538127,55.0,36.27710843373494,GJ Bailey
563,362.0,55,31.0,55,64.29840142095915,2.0,6.581818181818182,A Zampa
8358,7125.0,191,734.0,191,85.24766690595837,184.0,37.303664921465966,MJ Guptill
5098,4266.0,141,360.0,141,83.67987446057278,58.0,30.25531914893617,TWM Latham
8810,7113.0,162,653.0,162,80.7377979568672,60.0,43.907407407407405,KS Williamson
1538,1508.0,65,128.0,65,98.04941482444734,39.0,23.2,JDS Neesham
860,573.0,25,58.0,25,66.62790697674419,3.0,22.92,BJ Watling
1207,1249.0,52,134.0,52,103.47970173985087,36.0,24.01923076923077,C Munro
1610,1423.0,84,104.0,84,88.38509316770187,41.0,16.94047619047619,MJ Santner
714,742.0,35,59.0,35,103.921568627451,29.0,21.2,C de Grandhomme
298,270.0,38,22.0,38,90.60402684563759,11.0,7.105263157894737,MJ Henry
246,122.0,30,6.0,30,49.59349593495935,3.0,4.066666666666666,LH Ferguson
284,216.0,52,20.0,52,76.05633802816901,7.0,4.153846153846154,TA Boult
770,715.0,93,56.0,93,92.85714285714286,25.0,7.688172043010753,TG Southee
2679,2116.0,76,194.0,76,78.9846957820082,19.0,27.842105263157894,HM Nicholls
2826,2280.0,63,290.0,63,80.67940552016985,30.0,36.19047619047619,KJ Coetzer
598,515.0,25,42.0,25,86.12040133779264,9.0,20.6,CD Wallace
2570,2015.0,61,207.0,61,78.40466926070039,26.0,33.032786885245905,CS MacLeod
2464,1675.0,74,140.0,74,67.9788961038961,18.0,22.635135135135137,MH Cross
3082,2292.0,78,160.0,78,74.36729396495781,56.0,29.384615384615383,RD Berrington
786,601.0,19,49.0,19,76.46310432569975,3.0,31.63157894736842,PL Mommsen
94,65.0,5,6.0,5,69.14893617021278,,13.0,CD de Lange
705,492.0,45,35.0,45,69.7872340425532,4.0,10.933333333333334,SM Sharif
628,508.0,15,56.0,15,80.89171974522293,12.0,33.86666666666667,Nizakat Khan
216,143.0,10,12.0,10,66.20370370370371,5.0,14.3,Aizaz Khan
749,539.0,15,47.0,15,71.96261682242991,16.0,35.93333333333333,Babar Hayat
539,393.0,12,36.0,12,72.91280148423006,3.0,32.75,Anshuman Rath
229,100.0,11,8.0,11,43.66812227074236,,9.090909090909092,Ehsan Khan
182,161.0,12,13.0,12,88.46153846153845,8.0,13.416666666666666,Tanwir Afzal
1173,1306.0,57,101.0,57,111.33844842284739,57.0,22.912280701754387,MA Leask
745,586.0,43,50.0,43,78.65771812080537,9.0,13.627906976744185,MRJ Watt
176,111.0,8,16.0,8,63.06818181818182,,13.875,C Carter
138,60.0,6,5.0,6,43.47826086956522,2.0,10.0,Shahid Wasif
106,52.0,4,3.0,4,49.056603773584904,,13.0,Waqas Khan
132,55.0,11,5.0,11,41.66666666666667,,5.0,Nadeem Ahmed
12,4.0,4,,4,33.33333333333333,,1.0,Tanveer Ahmed
781,520.0,34,29.0,34,66.58130601792574,20.0,15.294117647058824,PJ Moor
3130,1987.0,87,205.0,87,63.48242811501598,12.0,22.839080459770116,CJ Chibhabha
5646,3955.0,155,420.0,155,70.04959263195182,57.0,25.516129032258064,H Masakadza
3763,2909.0,95,287.0,95,77.30534148285942,37.0,30.621052631578948,CR Ervine
3467,2125.0,98,235.0,98,61.29218344389963,25.0,21.683673469387756,V Sibanda
4084,3511.0,115,294.0,115,85.96963761018608,84.0,30.530434782608694,Sikandar Raza
4235,3266.0,151,264.0,151,77.11924439197166,73.0,21.629139072847682,E Chigumbura
447,319.0,23,36.0,23,71.36465324384787,5.0,13.869565217391305,R Mutumbami
897,507.0,51,33.0,51,56.52173913043478,1.0,9.941176470588236,AG Cremer
369,176.0,46,15.0,46,47.696476964769644,2.0,3.8260869565217392,TL Chatara
32,10.0,6,1.0,6,31.25,,1.6666666666666667,T Muzarabani
3359,2919.0,76,227.0,76,86.90086335218815,65.0,38.4078947368421,KL Rahul
