balls_bowled,runs_conceded,overs,wickets,economy,bowling_average,bowling_strike_rate,player
3031,2432,505.1,88,4.814252721873969,27.636363636363637,34.44318181818182,Mohammad Amir
7303,5081,1217.1,142,4.17444885663426,35.78169014084507,51.429577464788736,Mohammad Hafeez
3154,3062,525.4,107,5.824984147114774,28.61682242990654,29.476635514018692,Hasan Ali
4437,4177,739.3,138,5.6484110885733605,30.268115942028984,32.15217391304348,Wahab Riaz
2388,1936,398.0,44,4.864321608040201,44.0,54.27272727272727,Imad Wasim
690,595,115.0,17,5.173913043478262,35.0,40.588235294117645,Mohammad Nawaz (3)
6632,5710,1105.2,250,5.165862484921592,22.84,26.528,MA Starc
359,330,59.5,7,5.515320334261839,47.142857142857146,51.285714285714285,B Stanlake
3206,2979,534.2,106,5.575171553337492,28.10377358490566,30.245283018867923,JP Faulkner
4741,4100,790.1,147,5.188778738662729,27.891156462585034,32.25170068027211,PJ Cummins
1123,1068,187.1,25,5.7061442564559215,42.72,44.92,TM Head
2257,2047,376.1,57,5.441736818785999,35.91228070175438,39.59649122807018,MR Marsh
3578,3221,596.2,113,5.40134153158189,28.504424778761063,31.663716814159294,Junaid Khan
5735,4522,955.5,133,4.730950305143853,34.0,43.1203007518797,Shoaib Malik
4727,3784,787.5,143,4.803046329595938,26.46153846153846,33.05594405594405,JR Hazlewood
5678,5236,946.2,184,5.5329341317365275,28.456521739130434,30.858695652173914,A Zampa
4767,4089,794.3,171,5.146633102580239,23.912280701754387,27.87719298245614,MJ Henry
6230,5190,1038.2,219,4.998394863563403,23.698630136986303,28.447488584474886,TA Boult
3358,3130,559.4,98,5.59261465157832,31.93877551020408,34.265306122448976,LH Ferguson
1569,1243,261.3,29,4.753346080305927,42.86206896551724,54.10344827586207,C de Grandhomme
5579,4458,929.5,129,4.794407599928302,34.55813953488372,43.248062015503876,MJ Santner
2512,2573,418.4,71,6.145700636942675,36.23943661971831,35.38028169014085,JDS Neesham
7917,7284,1319.3,230,5.5202728306176585,31.669565217391305,34.42173913043478,TG Southee
1494,1323,249.0,41,5.313253012048193,32.26829268292683,36.4390243902439,KS Williamson
563,483,93.5,9,5.147424511545292,53.666666666666664,62.55555555555556,C Munro
507,396,84.3,8,4.686390532544379,49.5,63.375,Tanwir Afzal
893,655,148.5,26,4.400895856662935,25.192307692307693,34.34615384615385,Nadeem Ahmed
711,531,118.3,23,4.481012658227848,23.08695652173913,30.91304347826087,Ehsan Khan
507,481,84.3,15,5.692307692307692,32.06666666666667,33.8,Aizaz Khan
235,213,39.1,7,5.438297872340425,30.428571428571427,33.57142857142857,Tanveer Ahmed
1503,1227,250.3,55,4.8982035928143715,22.30909090909091,27.327272727272728,CB Sole
3099,2497,516.3,89,4.834462729912875,28.0561797752809,34.82022471910113,SM Sharif
1299,1165,216.3,37,5.381062355658198,31.486486486486488,35.108108108108105,AC Evans
3234,2245,539.0,92,4.165120593692023,24.402173913043477,35.15217391304348,MRJ Watt
264,211,44.0,15,4.795454545454545,14.066666666666666,17.6,CD de Lange
260,110,43.2,13,2.5384615384615383,8.461538461538462,20.0,Anshuman Rath
2184,1789,364.0,64,4.914835164835164,27.953125,34.125,MA Leask
627,527,104.3,20,5.043062200956938,26.35,31.35,DS Kulkarni
317,275,52.5,8,5.205047318611988,34.375,39.625,BB Sran
4590,3583,765.0,153,4.6836601307189545,23.41830065359477,30.0,JJ Bumrah
3144,2377,524.0,75,4.536259541984733,31.69333333333333,41.92,AR Patel
3741,3298,623.3,124,5.289494787489976,26.596774193548388,30.169354838709676,YS Chahal
3595,3171,599.1,99,5.292350486787204,32.03030303030303,36.313131313131315,TL Chatara
256,195,42.4,8,4.5703125,24.375,32.0,T Muzarabani
1417,1379,236.1,30,5.839096683133381,45.96666666666667,47.233333333333334,CJ Chibhabha
3231,2627,538.3,75,4.87836583101207,35.026666666666664,43.08,AG Cremer
3753,3551,625.3,88,5.677058353317347,40.35227272727273,42.64772727272727,E Chigumbura
4142,3382,690.2,82,4.899082568807339,41.24390243902439,50.51219512195122,Sikandar Raza
1249,1174,208.1,22,5.639711769415532,53.36363636363637,56.77272727272727,H Masakadza
1300,1243,216.4,30,5.736923076923077,41.43333333333333,43.333333333333336,DT Tiripano
420,417,70.0,13,5.957142857142857,32.07692307692308,32.30769230769231,N Madziva
1417,1225,236.1,39,5.187014820042343,31.41025641025641,36.333333333333336,T Mupariwa
8756,7441,1459.2,227,5.098903608953861,32.779735682819386,38.5726872246696,Mashrafe Mortaza
4896,4212,816.0,162,5.161764705882353,26.0,30.22222222222222,Mustafizur Rahman
3241,2905,540.1,90,5.377969762419006,32.27777777777778,36.01111111111111,Taskin Ahmed
10754,8249,1792.2,280,4.602380509577831,29.460714285714285,38.40714285714286,Shakib Al Hasan
543,545,90.3,20,6.022099447513812,27.25,27.15,Soumya Sarkar
1016,904,169.2,16,5.338582677165354,56.5,63.5,Mosaddek Hossain
61,49,10.1,1,4.8196721311475414,49.0,61.0,Subashis Roy
60,67,10.0,0,6.7,,,Tanbir Hayder
1789,1500,298.1,44,5.030743432084964,34.09090909090909,40.65909090909091,JS Patel
289,337,48.1,3,6.996539792387544,112.33333333333333,96.33333333333333,Sabbir Rahman
4086,3605,681.0,83,5.293685756240823,43.433734939759034,49.2289156626506,Mahmudullah
2073,2067,345.3,48,5.982633863965268,43.0625,43.1875,MP Stoinis
5520,4655,920.0,175,5.059782608695652,26.6,31.542857142857144,K Rabada
1926,1783,321.0,50,5.554517133956386,35.66,38.52,CH Morris
3189,3003,531.3,96,5.650047036688617,31.28125,33.21875,AL Phehlukwayo
5556,4325,926.0,180,4.670626349892009,24.02777777777778,30.866666666666667,Imran Tahir
2780,2543,463.2,75,5.488489208633093,33.906666666666666,37.06666666666667,T Shamsi
3460,3094,576.4,74,5.365317919075144,41.810810810810814,46.75675675675676,JP Duminy
2585,2374,430.5,67,5.510251450676983,35.43283582089552,38.582089552238806,IS Sodhi
3340,3090,556.4,110,5.550898203592815,28.09090909090909,30.363636363636363,WD Parnell
1154,960,192.2,38,4.991334488734835,25.263157894736842,30.36842105263158,D Pretorius
5767,5191,961.1,191,5.40072828160222,27.17801047120419,30.19371727748691,CR Woakes
3377,3131,562.5,79,5.56292567367486,39.63291139240506,42.74683544303797,MA Wood
975,996,162.3,24,6.1292307692307695,41.5,40.625,JT Ball
3217,3206,536.1,76,5.979483991296239,42.18421052631579,42.328947368421055,BA Stokes
4166,3918,694.2,140,5.642822851656265,27.985714285714284,29.757142857142856,LE Plunkett
5935,5303,989.1,119,5.361078348778433,44.563025210084035,49.87394957983193,MM Ali
1725,1678,287.3,28,5.8365217391304345,59.92857142857143,61.607142857142854,JE Root
4389,4174,731.3,128,5.706083390293917,32.609375,34.2890625,Rubel Hossain
1532,1271,255.2,44,4.977806788511749,28.886363636363637,34.81818181818182,JW Hastings
408,354,68.0,10,5.205882352941177,35.4,40.8,MC Henriques
2261,2023,376.5,59,5.368421052631579,34.28813559322034,38.32203389830509,AF Milne
10803,9518,1800.3,343,5.286309358511525,27.749271137026238,31.495626822157433,SL Malinga
3859,3519,643.1,110,5.471365638766519,31.990909090909092,35.08181818181818,RAS Lakmal
2302,2320,383.4,69,6.046915725456125,33.6231884057971,33.36231884057971,N Pradeep
846,735,141.0,25,5.212765957446808,29.4,33.84,DAS Gunaratne
1936,1742,322.4,33,5.398760330578512,52.78787878787879,58.666666666666664,S Prasanna
5948,4863,991.2,195,4.90551445864156,24.93846153846154,30.502564102564104,M Morkel
3176,2802,529.2,84,5.293450881612091,33.357142857142854,37.80952380952381,Shadab Khan
5950,5050,991.4,160,5.092436974789916,31.5625,37.1875,B Kumar
3701,3659,616.5,116,5.931910294514996,31.54310344827586,31.905172413793103,UT Yadav
3472,3166,578.4,90,5.471198156682028,35.17777777777778,38.577777777777776,HH Pandya
9978,8139,1663.0,242,4.894167167769092,33.63223140495868,41.231404958677686,RA Jadeja
3915,3557,652.3,79,5.451340996168582,45.0253164556962,49.55696202531646,GJ Maxwell
4360,3605,726.4,107,4.9610091743119265,33.691588785046726,40.74766355140187,Mehedi Hasan Miraz
1507,1494,251.1,59,5.9482415394824155,25.322033898305083,25.54237288135593,CJ Anderson
7379,6893,1229.5,217,5.604824501965036,31.764976958525345,34.004608294930875,AU Rashid
5776,5632,962.4,183,5.850415512465374,30.775956284153004,31.562841530054644,NLTC Perera
405,375,67.3,8,5.555555555555555,46.875,50.625,MD Gunathilaka
1173,1005,195.3,28,5.140664961636828,35.892857142857146,41.892857142857146,KM Jadhav
671,681,111.5,7,6.089418777943368,97.28571428571429,95.85714285714286,V Kohli
6358,5228,1059.4,166,4.933626926706511,31.49397590361446,38.30120481927711,R Ashwin
1384,1191,230.4,26,5.163294797687861,45.80769230769231,53.23076923076923,Faheem Ashraf
1951,1674,325.1,45,5.148129164531009,37.2,43.355555555555554,DM de Silva
475,468,79.1,15,5.911578947368421,31.2,31.666666666666668,Rumman Raees
135,112,22.3,1,4.977777777777778,112.0,135.0,Fakhar Zaman
2380,1774,396.4,67,4.472268907563025,26.47761194029851,35.52238805970149,CA Soper
2223,1880,370.3,56,5.074224021592443,33.57142857142857,39.69642857142857,N Vanua
88,82,14.4,1,5.590909090909091,82.0,88.0,WT Gavera
613,492,102.1,13,4.815660685154976,37.84615384615385,47.15384615384615,S Bau
545,387,90.5,13,4.2605504587155965,29.76923076923077,41.92307692307692,MD Dai
2017,1320,336.1,47,3.926623698562221,28.085106382978722,42.91489361702128,A Vala
103,114,17.1,3,6.640776699029126,38.0,34.333333333333336,H Hiri
9,18,1.3,0,12.0,,,K Christie
192,165,32.0,6,5.15625,27.5,32.0,JB Reva
202,153,33.4,3,4.544554455445544,51.0,67.33333333333333,L Siaka
6,9,1.0,0,9.0,,,Babar Hayat
