batting_average,batting_strike_rate,total_runs,total_wickets,bowling_average,bowling_strike_rate,economy_rate,catches,all_round_index,role,player
41.56521739130435,105.05494505494507,956,3,41.333333333333336,37.0,6.702702702702702,4,56.15981198589894,Batsman,MR Marsh
7.5,52.5,105,35,28.34285714285714,28.914285714285715,5.881422924901186,8,352.5228684359119,Bowler,MA Starc
4.166666666666667,86.20689655172413,50,31,31.451612903225808,35.16129032258065,5.36697247706422,7,304.09938837920487,Bowler,JR Hazlewood
7.2727272727272725,61.06870229007634,80,27,29.444444444444443,38.851851851851855,4.547187797902765,4,272.8147153132854,Bowler,KA Maharaj
8.6,66.66666666666666,86,31,25.93548387096774,28.677419354838708,5.426321709786277,9,312.04735658042745,Bowler,K Rabada
2.75,55.00000000000001,22,24,33.333333333333336,34.25,5.839416058394161,1,233.32116788321167,Bowler,T Shamsi
44.25,125.0,885,10,23.9,26.9,5.330855018587361,4,124.73828996282529,All-rounder,TM Head
16.157894736842106,127.38589211618256,307,16,34.75,42.25,4.93491124260355,9,162.81438804110869,All-rounder,GJ Maxwell
18.272727272727273,96.17224880382776,201,19,34.1578947368421,37.473684210526315,5.469101123595506,5,198.06179775280899,All-rounder,PJ Cummins
6.666666666666667,68.96551724137932,20,8,35.25,32.5,6.507692307692308,0,76.65128205128205,Bowler,Hasan Ali
7.8,69.64285714285714,156,58,27.82758620689655,28.775862068965516,5.802276812462552,3,579.595446375075,Bowler,A Zampa
16.210526315789473,81.26649076517151,308,12,31.916666666666668,40.416666666666664,4.738144329896907,8,130.4710797612588,All-rounder,MD Shanaka
21.5,113.1578947368421,86,3,78.66666666666667,52.666666666666664,8.962025316455696,1,31.075949367088608,Bowler,JDS Neesham
18.3,98.91891891891892,366,35,35.42857142857143,44.885714285714286,4.735837046467219,12,359.02832590706555,All-rounder,MJ Santner
3.6153846153846154,94.0,47,53,21.37735849056604,24.88679245283019,5.153904473085671,11,523.5383448999825,Bowler,MJ Henry
4.2,54.54545454545454,42,19,40.421052631578945,41.36842105263158,5.862595419847328,2,185.97480916030534,Bowler,LH Ferguson
3.5714285714285716,73.52941176470588,25,24,27.125,29.458333333333332,5.524752475247525,9,233.8076379066478,Bowler,TA Boult
5.833333333333333,85.36585365853658,35,17,33.529411764705884,27.941176470588236,7.199999999999999,1,162.43333333333334,Bowler,TG Southee
32.36842105263158,78.84615384615384,615,0,0.0,0.0,9.0,10,23.052631578947377,Batsman,RD Berrington
6.125,56.32183908045977,49,13,37.15384615384615,46.61538461538461,4.782178217821782,3,131.31064356435644,Bowler,SM Sharif
17.933333333333334,86.21794871794873,269,33,23.575757575757574,31.87878787878788,4.437262357414449,8,341.9254752851711,All-rounder,MRJ Watt
0.0,0.0,0,1,35.0,42.0,5.0,0,0.0,Unknown,AC Evans
7.25,96.66666666666667,29,15,26.866666666666667,31.2,5.166666666666667,4,147.16666666666666,Bowler,CB Sole
29.133333333333333,113.80208333333333,437,21,23.19047619047619,30.095238095238095,4.6234177215189876,7,226.353164556962,All-rounder,MA Leask
13.9375,67.78115501519757,223,15,58.2,67.66666666666667,5.160591133004926,6,160.24131773399014,All-rounder,AR McBrine
11.0,107.84313725490196,55,26,35.38461538461539,32.88461538461539,6.456140350877193,3,257.28771929824563,Bowler,J Little
16.8,105.0,84,23,20.565217391304348,23.47826086956522,5.2555555555555555,6,235.48888888888888,Bowler,CA Young
30.285714285714285,95.92760180995475,636,24,35.083333333333336,44.916666666666664,4.686456400742115,6,262.1985157699443,All-rounder,Sikandar Raza
4.0,48.484848484848484,16,14,30.571428571428573,26.857142857142858,6.829787234042554,0,134.5904255319149,Bowler,TL Chatara
20.25,79.7244094488189,405,18,38.0,48.05555555555556,4.744508670520231,11,195.91098265895954,All-rounder,AR Patel
7.333333333333333,65.67164179104478,44,24,22.458333333333332,30.833333333333332,4.37027027027027,1,242.42612612612612,Bowler,JJ Bumrah
66.5,122.76923076923076,798,10,26.5,35.1,4.52991452991453,4,145.10683760683762,All-rounder,SC Williams
33.8,94.15041782729804,338,8,20.75,19.5,6.384615384615385,7,103.13076923076923,All-rounder,Soumya Sarkar
37.21052631578947,83.37264150943396,707,0,0.0,0.0,5.917808219178082,7,32.795962509012256,Batsman,Mahmudullah
35.88235294117647,88.02308802308802,610,17,39.88235294117647,47.23529411764706,5.066002490660026,4,200.63270090103288,All-rounder,Shakib Al Hasan
8.533333333333333,68.44919786096256,128,30,28.6,35.333333333333336,4.856603773584906,2,302.7534591194968,Bowler,Taskin Ahmed
3.2,41.37931034482759,48,24,40.041666666666664,43.625,5.507163323782235,1,236.71900668576885,Bowler,Mustafizur Rahman
8.11111111111111,57.48031496062992,73,17,40.529411764705884,43.05882352941177,5.647540983606557,3,172.816029143898,Bowler,IS Sodhi
20.22222222222222,77.4468085106383,546,22,53.86363636363637,59.68181818181818,5.415079969535415,10,235.2809511720403,All-rounder,Mehedi Hasan Miraz
40.19230769230769,83.93574297188755,1045,1,67.0,72.0,5.583333333333334,9,46.717948717948715,Batsman,Nazmul Hossain Shanto
17.545454545454547,101.57894736842105,193,12,35.75,35.333333333333336,6.070754716981132,4,125.131217838765,Bowler,MP Stoinis
