balls_faced,runs,fours,innings_played,innings,strike_rate,batting_average,player,sixes
121,99.0,15.0,6,6,81.81818181818183,16.5,CJ Bowes,
218,195.0,31.0,11,11,89.44954128440367,17.727272727272727,FH Allen,3.0
1611,1364.0,167.0,35,35,84.66790813159528,38.97142857142857,WA Young,17.0
1518,1467.0,109.0,32,32,96.6403162055336,45.84375,DJ Mitchell,44.0
1084,897.0,70.0,35,35,82.74907749077491,25.62857142857143,TWM Latham,9.0
817,850.0,61.0,29,29,104.0391676866585,29.310344827586206,GD Phillips,36.0
1090,1164.0,126.0,27,27,106.78899082568807,43.111111111111114,R Ravindra,26.0
41,18.0,,6,6,43.90243902439025,3.0,HB Shipley,
50,47.0,3.0,13,13,94.0,3.6153846153846154,MJ Henry,2.0
127,73.0,2.0,9,9,57.48031496062992,8.11111111111111,IS Sodhi,3.0
25,15.0,1.0,5,5,60.0,3.0,BM Tickner,
1591,1366.0,181.0,38,38,85.85795097423005,35.94736842105263,P Nissanka,17.0
107,75.0,10.0,4,4,70.09345794392523,18.75,MNK Fernando,
1656,1465.0,161.0,44,44,88.46618357487924,33.29545454545455,BKG Mendis,26.0
87,46.0,6.0,4,4,52.87356321839081,11.5,AD Mathews,
1531,1356.0,114.0,40,40,88.56956237753103,33.9,KIC Asalanka,43.0
379,308.0,25.0,19,19,81.26649076517151,16.210526315789473,MD Shanaka,8.0
148,75.0,10.0,7,7,50.67567567567568,10.714285714285714,C Karunaratne,
246,262.0,19.0,18,18,106.5040650406504,14.555555555555555,PWH de Silva,14.0
166,103.0,12.0,12,12,62.048192771084345,8.583333333333334,CAK Rajitha,1.0
91,41.0,6.0,11,11,45.05494505494506,3.727272727272727,CBRLS Kumara,1.0
76,36.0,5.0,10,10,47.368421052631575,3.6,D Madushanka,
521,411.0,43.0,19,19,78.88675623800384,21.63157894736842,DM de Silva,7.0
272,235.0,24.0,10,10,86.39705882352942,23.5,TA Blundell,2.0
706,526.0,46.0,20,20,74.5042492917847,26.3,HM Nicholls,5.0
738,725.0,69.0,24,24,98.23848238482384,30.208333333333332,HC Brook,28.0
1002,963.0,106.0,17,17,96.10778443113772,56.64705882352941,DJ Malan,24.0
623,521.0,39.0,17,17,83.62760834670947,30.647058823529413,JE Root,4.0
556,539.0,44.0,9,9,96.94244604316546,59.888888888888886,BA Stokes,21.0
872,874.0,64.0,26,26,100.22935779816513,33.61538461538461,JC Buttler,25.0
655,662.0,38.0,24,24,101.06870229007635,27.583333333333332,LS Livingstone,33.0
230,193.0,19.0,13,13,83.91304347826087,14.846153846153847,CR Woakes,2.0
102,133.0,13.0,10,10,130.3921568627451,13.3,DJ Willey,9.0
1095,986.0,123.0,23,23,90.04566210045662,42.869565217391305,DP Conway,16.0
268,232.0,29.0,11,11,86.56716417910447,21.09090909090909,JM Bairstow,3.0
344,304.0,26.0,15,15,88.37209302325581,20.266666666666666,MM Ali,9.0
414,381.0,21.0,15,15,92.02898550724638,25.4,SM Curran,14.0
370,366.0,28.0,20,20,98.91891891891892,18.3,MJ Santner,12.0
41,35.0,4.0,6,6,85.36585365853658,5.833333333333333,TG Southee,
34,25.0,1.0,7,7,73.52941176470588,3.5714285714285716,TA Boult,1.0
81,104.0,16.0,8,8,128.39506172839506,13.0,AAP Atkinson,2.0
3,2.0,,3,3,66.66666666666666,0.6666666666666666,RJW Topley,
76,58.0,4.0,4,4,76.31578947368422,14.5,KA Jamieson,1.0
77,42.0,2.0,10,10,54.54545454545454,4.2,LH Ferguson,2.0
14,10.0,1.0,3,3,71.42857142857143,3.3333333333333335,BG Lister,
168,133.0,7.0,8,8,79.16666666666666,16.625,BA Carse,5.0
674,559.0,81.0,20,20,82.93768545994065,27.95,AJ Healy,6.0
1142,895.0,118.0,27,27,78.37127845884413,33.148148148148145,P Litchfield,4.0
962,818.0,88.0,25,25,85.03118503118503,32.72,EA Perry,17.0
944,803.0,85.0,26,26,85.0635593220339,30.884615384615383,BL Mooney,6.0
513,444.0,62.0,20,20,86.54970760233918,22.2,TM McGrath,1.0
639,603.0,59.0,20,20,94.36619718309859,30.15,A Gardner,10.0
676,663.0,66.0,19,19,98.07692307692307,34.89473684210526,A Sutherland,11.0
65,56.0,3.0,5,5,86.15384615384616,11.2,JL Jonassen,
137,176.0,14.0,10,10,128.46715328467153,17.6,G Wareham,8.0
29,11.0,,6,6,37.93103448275862,1.8333333333333333,ML Schutt,
888,769.0,102.0,22,22,86.59909909909909,34.95454545454545,TT Beaumont,3.0
94,43.0,6.0,6,6,45.744680851063826,7.166666666666667,SIR Dunkley,
308,203.0,20.0,13,13,65.9090909090909,15.615384615384615,A Capsey,1.0
633,448.0,43.0,18,18,70.7740916271722,24.88888888888889,HC Knight,3.0
863,802.0,92.0,18,18,92.9316338354577,44.55555555555556,NR Sciver-Brunt,5.0
269,262.0,24.0,13,13,97.39776951672863,20.153846153846153,DN Wyatt,3.0
572,544.0,61.0,16,16,95.1048951048951,34.0,AE Jones,2.0
114,74.0,6.0,10,10,64.91228070175438,7.4,S Ecclestone,2.0
64,48.0,2.0,4,4,75.0,12.0,S Glenn,
134,103.0,13.0,8,8,76.86567164179104,12.875,KL Cross,
262,168.0,13.0,10,10,64.12213740458014,16.8,CE Dean,
180,175.0,7.0,13,13,97.22222222222221,13.461538461538462,A King,13.0
148,123.0,13.0,11,11,83.1081081081081,11.181818181818182,MAA Sanjeewani,1.0
840,882.0,116.0,18,18,105.0,49.0,AC Jayangani,28.0
541,386.0,39.0,15,15,71.34935304990758,25.733333333333334,H Madavi,2.0
602,425.0,54.0,17,17,70.59800664451828,25.0,RMVD Gunaratne,4.0
296,192.0,23.0,8,8,64.86486486486487,24.0,GWHM Perera,1.0
410,304.0,24.0,14,14,74.14634146341463,21.714285714285715,WK Dilhari,2.0
394,284.0,27.0,13,13,72.08121827411168,21.846153846153847,NND de Silva,2.0
132,69.0,5.0,7,7,52.27272727272727,9.857142857142858,OU Ranasinghe,
48,19.0,3.0,6,6,39.58333333333333,3.1666666666666665,WGAKK Kulasuriya,
99,15.0,1.0,5,5,15.151515151515152,3.0,KDU Prabodhani,
52,14.0,1.0,4,4,26.923076923076923,3.5,I Ranaweera,
98,60.0,8.0,4,4,61.224489795918366,15.0,EL Lamb,
466,482.0,74.0,15,15,103.43347639484979,32.13333333333333,ME Bouchier,5.0
115,60.0,4.0,5,5,52.17391304347826,12.0,H Karunaratne,1.0
61,59.0,3.0,4,4,96.72131147540983,14.75,BAM Heath,1.0
3,2.0,,1,1,66.66666666666666,2.0,AN Davidson-Richards,
35,15.0,1.0,2,2,42.857142857142854,7.5,I Dulani,
548,570.0,74.0,21,21,104.01459854014598,27.142857142857142,PD Salt,16.0
477,468.0,44.0,15,15,98.11320754716981,31.2,WG Jacks,16.0
122,102.0,9.0,5,5,83.60655737704919,20.4,Z Crawley,2.0
838,897.0,109.0,18,18,107.04057279236277,49.833333333333336,BM Duckett,11.0
100,106.0,8.0,2,2,106.0,53.0,SR Hain,
164,148.0,12.0,8,8,90.2439024390244,18.5,JL Smith,5.0
48,35.0,2.0,4,4,72.91666666666666,8.75,Rehan Ahmed,1.0
9,12.0,1.0,1,1,133.33333333333331,12.0,TW Hartley,
58,42.0,1.0,5,5,72.41379310344827,8.4,MJ Potts,1.0
851,600.0,56.0,21,21,70.50528789659224,28.571428571428573,A Balbirnie,8.0
787,698.0,74.0,22,22,88.69123252858958,31.727272727272727,PR Stirling,24.0
696,600.0,64.0,19,19,86.20689655172413,31.57894736842105,C Campher,9.0
1048,900.0,70.0,22,22,85.87786259541986,40.90909090909091,HT Tector,24.0
491,447.0,52.0,20,20,91.0386965376782,22.35,L Tucker,3.0
603,543.0,40.0,19,19,90.04975124378109,28.57894736842105,GH Dockrell,13.0
329,223.0,23.0,16,16,67.78115501519757,13.9375,AR McBrine,3.0
202,212.0,19.0,16,16,104.95049504950495,13.25,MR Adair,7.0
52,50.0,5.0,3,3,96.15384615384616,16.666666666666668,BJ McCarthy,1.0
80,84.0,6.0,5,5,105.0,16.8,CA Young,4.0
51,55.0,7.0,5,5,107.84313725490196,11.0,J Little,2.0
905,896.0,99.0,19,19,99.00552486187846,47.1578947368421,Q de Kock,27.0
1060,976.0,110.0,24,24,92.0754716981132,40.666666666666664,T Bavuma,20.0
1243,1004.0,89.0,31,31,80.77232502011263,32.38709677419355,HE van der Dussen,19.0
1040,1114.0,108.0,27,27,107.11538461538461,41.25925925925926,AK Markram,30.0
991,1335.0,127.0,27,27,134.71241170534813,49.44444444444444,H Klaasen,55.0
825,917.0,64.0,25,25,111.15151515151516,36.68,DA Miller,44.0
39,40.0,4.0,3,3,102.56410256410255,13.333333333333334,WD Parnell,1.0
23,18.0,2.0,4,4,78.26086956521739,4.5,SSB Magala,
129,86.0,4.0,10,10,66.66666666666666,8.6,K Rabada,5.0
285,278.0,34.0,6,6,97.54385964912281,46.333333333333336,JJ Roy,5.0
281,231.0,19.0,24,24,82.20640569395017,9.625,AU Rashid,4.0
117,121.0,14.0,8,8,103.41880341880344,15.125,JC Archer,5.0
23,11.0,,3,3,47.82608695652174,3.6666666666666665,OP Stone,
426,448.0,33.0,21,21,105.1643192488263,21.333333333333332,M Jansen,21.0
362,288.0,34.0,9,9,79.55801104972376,32.0,RR Hendricks,3.0
126,59.0,4.0,11,11,46.82539682539682,5.363636363636363,L Ngidi,2.0
40,22.0,3.0,8,8,55.00000000000001,2.75,T Shamsi,
1059,914.0,118.0,26,26,86.30783758262511,35.15384615384615,BA King,18.0
240,174.0,21.0,10,10,72.5,17.4,KR Mayers,6.0
214,148.0,12.0,8,8,69.1588785046729,18.5,SSJ Brooks,1.0
1241,1136.0,66.0,29,29,91.53908138597905,39.172413793103445,SD Hope,40.0
392,428.0,35.0,9,9,109.18367346938776,47.55555555555556,N Pooran,19.0
80,82.0,6.0,6,6,102.49999999999999,13.666666666666666,R Powell,4.0
228,195.0,13.0,7,7,85.52631578947368,27.857142857142858,JO Holder,5.0
61,32.0,1.0,6,6,52.459016393442624,5.333333333333333,AJ Hosein,
45,55.0,6.0,3,3,122.22222222222223,18.333333333333332,OF Smith,1.0
123,94.0,5.0,11,11,76.42276422764228,8.545454545454545,AS Joseph,5.0
255,232.0,26.0,8,8,90.98039215686275,29.0,RD Rickelton,5.0
419,403.0,39.0,10,10,96.18138424821002,40.3,T de Zorzi,15.0
237,218.0,11.0,6,6,91.9831223628692,36.333333333333336,T Stubbs,7.0
85,57.0,3.0,5,5,67.05882352941175,11.4,BC Fortuin,1.0
90,57.0,4.0,7,7,63.33333333333333,8.142857142857142,G Coetzee,1.0
82,40.0,4.0,5,5,48.78048780487805,8.0,Y Cariah,
1161,823.0,89.0,28,28,70.88716623600344,29.392857142857142,Vikramjit Singh,10.0
1478,1027.0,109.0,33,33,69.48579161028417,31.12121212121212,MP O'Dowd,20.0
205,125.0,12.0,7,7,60.97560975609756,17.857142857142858,Musa Ahmed,3.0
442,357.0,43.0,17,17,80.76923076923077,21.0,W Barresi,5.0
1057,965.0,78.0,31,31,91.2961210974456,31.129032258064516,SA Edwards,9.0
611,572.0,44.0,21,21,93.61702127659575,27.238095238095237,AT Nidamanuru,20.0
280,153.0,11.0,15,15,54.64285714285714,10.2,Shariz Ahmad,
236,151.0,5.0,21,21,63.983050847457626,7.190476190476191,A Dutt,8.0
75,34.0,1.0,6,6,45.33333333333333,5.666666666666667,R Klein,
92,68.0,5.0,16,16,73.91304347826086,4.25,PA van Meekeren,2.0
16,12.0,,4,4,75.0,3.0,FJ Klaassen,1.0
19,15.0,2.0,2,2,78.94736842105263,7.5,A Nortje,
94,77.0,9.0,3,3,81.91489361702128,25.666666666666668,TLW Cooper,
26,4.0,,5,5,15.384615384615385,0.8,VJ Kingma,
964,834.0,85.0,14,14,86.51452282157676,59.57142857142857,KS Williamson,9.0
320,355.0,33.0,15,15,110.9375,23.666666666666668,MG Bracewell,17.0
1024,964.0,100.0,20,20,94.140625,48.2,Fakhar Zaman,31.0
539,438.0,46.0,14,14,81.26159554730982,31.285714285714285,Imam-ul-Haq,6.0
1536,1255.0,128.0,31,31,81.70572916666666,40.483870967741936,Babar Azam,15.0
1626,1409.0,121.0,31,31,86.65436654366545,45.45161290322581,Mohammad Rizwan,22.0
70,64.0,3.0,3,3,91.42857142857143,21.333333333333332,Haris Sohail,2.0
835,816.0,68.0,22,22,97.72455089820359,37.09090909090909,Agha Salman,17.0
149,123.0,9.0,9,9,82.5503355704698,13.666666666666666,Mohammad Nawaz,4.0
30,38.0,2.0,4,4,126.66666666666666,9.5,Usama Mir,3.0
50,46.0,3.0,5,5,92.0,9.2,Mohammad Wasim,3.0
134,113.0,4.0,9,9,84.32835820895522,12.555555555555555,Naseem Shah,6.0
80,88.0,5.0,12,12,110.00000000000001,7.333333333333333,Haris Rauf,9.0
94,52.0,7.0,4,4,55.319148936170215,13.0,Shan Masood,
8,10.0,2.0,3,3,125.0,3.3333333333333335,Mohammad Hasnain,
449,449.0,45.0,17,17,100.0,26.41176470588235,MS Chapman,13.0
40,12.0,,5,5,30.0,2.4,AF Milne,
76,86.0,5.0,4,4,113.1578947368421,21.5,JDS Neesham,3.0
684,552.0,49.0,19,19,80.7017543859649,29.05263157894737,Abdullah Shafique,15.0
125,129.0,9.0,9,9,103.2,14.333333333333334,Shadab Khan,5.0
133,126.0,11.0,5,5,94.73684210526315,25.2,CE McConchie,3.0
346,403.0,38.0,12,12,116.47398843930637,33.583333333333336,Iftikhar Ahmed,12.0
18,20.0,1.0,2,2,111.11111111111111,10.0,Mohammad Haris,1.0
146,148.0,14.0,17,17,101.36986301369863,8.705882352941176,Shaheen Shah Afridi,8.0
499,281.0,31.0,15,15,56.312625250501,18.733333333333334,Muneeba Ali,
752,472.0,42.0,18,18,62.76595744680851,26.22222222222222,Sidra Ameen,
640,353.0,22.0,15,15,55.15624999999999,23.533333333333335,Bismah Maroof,
86,49.0,5.0,4,4,56.97674418604651,12.25,Umaima Sohail,
413,267.0,27.0,12,12,64.64891041162227,22.25,Nida Dar,1.0
561,365.0,37.0,16,16,65.06238859180036,22.8125,Aliya Riaz,2.0
