balls_bowled,runs_conceded,overs,wickets,economy,bowling_average,bowling_strike_rate,player
781,787,130.1,22,6.046094750320102,35.77272727272727,35.5,CAK Rajitha
963,955,160.3,43,5.950155763239875,22.209302325581394,22.3953488372093,D Madushanka
631,651,105.1,24,6.190174326465927,27.125,26.291666666666668,CBRLS Kumara
318,318,53.0,8,6.0,39.75,39.75,C Karunaratne
1129,1009,188.1,52,5.362267493356953,19.403846153846153,21.71153846153846,PWH de Silva
485,383,80.5,12,4.738144329896907,31.916666666666668,40.416666666666664,MD Shanaka
1319,1133,219.5,53,5.153904473085671,21.37735849056604,24.88679245283019,MJ Henry
404,360,67.2,15,5.346534653465347,24.0,26.933333333333334,HB Shipley
217,222,36.1,9,6.138248847926267,24.666666666666668,24.11111111111111,DJ Mitchell
325,351,54.1,7,6.48,50.142857142857146,46.42857142857143,BM Tickner
732,689,122.0,17,5.647540983606557,40.529411764705884,43.05882352941177,IS Sodhi
475,570,79.1,17,7.199999999999999,33.529411764705884,27.941176470588236,TG Southee
349,353,58.1,5,6.0687679083094554,70.6,69.8,KA Jamieson
786,768,131.0,19,5.862595419847328,40.421052631578945,41.36842105263158,LH Ferguson
897,872,149.3,19,5.832775919732441,45.89473684210526,47.21052631578947,R Ravindra
614,611,102.2,13,5.970684039087947,47.0,47.23076923076923,GD Phillips
586,492,97.4,17,5.03754266211604,28.941176470588236,34.470588235294116,CR Woakes
445,451,74.1,14,6.080898876404493,32.214285714285715,31.785714285714285,RJW Topley
460,396,76.4,16,5.165217391304348,24.75,28.75,DJ Willey
1473,1375,245.3,43,5.60081466395112,31.976744186046513,34.25581395348837,AU Rashid
139,171,23.1,1,7.381294964028776,171.0,139.0,JE Root
494,535,82.2,13,6.4979757085020236,41.15384615384615,38.0,AAP Atkinson
740,791,123.2,16,6.413513513513514,49.4375,46.25,LS Livingstone
707,651,117.5,24,5.524752475247525,27.125,29.458333333333332,TA Boult
1571,1240,261.5,35,4.735837046467219,35.42857142857143,44.885714285714286,MJ Santner
593,616,98.5,19,6.232715008431703,32.421052631578945,31.210526315789473,SM Curran
