batting_average,batting_strike_rate,total_runs,total_wickets,bowling_average,bowling_strike_rate,economy_rate,catches,all_round_index,role,player
31.235294117647058,149.57746478873239,531,2,20.0,20.0,6.0,10,28.88235294117647,Batsman,MR Marsh
2.0,57.14285714285714,4,6,35.833333333333336,26.333333333333332,8.164556962025316,7,47.17088607594937,Bowler,MA Starc
1.0,33.33333333333333,2,9,29.88888888888889,27.11111111111111,6.614754098360656,4,79.77049180327869,Bowler,JR Hazlewood
3.7777777777777777,65.38461538461539,34,16,23.3125,18.75,7.460000000000001,2,150.85777777777776,Bowler,KA Maharaj
3.0,112.5,9,16,17.25,14.0625,7.359999999999999,2,147.94666666666666,Bowler,K Rabada
0.5,25.0,1,13,24.692307692307693,16.615384615384617,8.916666666666668,0,114.16666666666666,Bowler,T Shamsi
2.0,150.0,6,15,21.266666666666666,17.666666666666668,7.222641509433962,3,136.88805031446543,Bowler,Mohammad Amir
6.75,100.0,27,6,23.0,20.0,6.8999999999999995,2,52.95,Bowler,Rahat Ali
0.8571428571428571,60.0,6,20,16.8,15.7,6.420382165605096,5,188.58780709736124,Bowler,Imran Khan
29.733333333333334,169.58174904942967,446,4,58.5,29.5,11.898305084745763,10,33.7367231638418,Batsman,GJ Maxwell
13.0,125.80645161290323,39,8,22.375,17.375,7.726618705035971,1,74.88009592326138,Bowler,PJ Cummins
12.0,125.0,120,16,16.125,17.0625,5.67032967032967,2,158.25934065934067,Bowler,Imad Wasim
4.75,190.0,19,11,19.636363636363637,23.818181818181817,4.9465648854961835,0,102.60687022900763,Bowler,Junaid Khan
2.2,100.0,11,33,20.03030303030303,14.969696969696969,8.02834008097166,5,316.1433198380567,Bowler,A Zampa
15.533333333333333,150.32258064516128,233,9,18.555555555555557,13.222222222222221,8.42016806722689,7,83.49299719887955,Batsman,MD Shanaka
17.066666666666666,134.03141361256544,256,16,20.4375,14.25,8.605263157894736,13,155.52280701754387,All-rounder,JDS Neesham
11.5,105.02283105022832,230,31,22.451612903225808,20.096774193548388,6.703049759229534,9,307.5439004815409,All-rounder,MJ Santner
0.5,33.33333333333333,2,21,20.142857142857142,15.0,8.057142857142857,3,195.3857142857143,Bowler,MJ Henry
0.75,37.5,6,23,14.956521739130435,13.826086956521738,6.490566037735849,5,219.0188679245283,Bowler,LH Ferguson
11.5,153.33333333333334,23,7,16.857142857142858,15.714285714285714,6.4363636363636365,2,64.62727272727273,Unknown,TA Boult
5.25,131.25,42,30,16.866666666666667,14.366666666666667,7.044083526682135,12,289.91183294663574,Bowler,TG Southee
2.8,56.00000000000001,14,14,21.0,16.785714285714285,7.506382978723405,4,129.98723404255318,Bowler,SM Sharif
9.909090909090908,110.1010101010101,109,21,19.142857142857142,16.476190476190474,6.971098265895954,4,205.05780346820808,Bowler,MRJ Watt
3.0,68.18181818181817,15,10,23.6,16.0,8.850000000000001,3,86.7,Bowler,CB Sole
23.5,122.76119402985076,987,7,18.714285714285715,17.142857142857142,6.549999999999999,23,76.04285714285714,All-rounder,Nizakat Khan
17.129032258064516,113.21961620469084,531,36,21.27777777777778,15.25,8.371584699453551,7,358.3858628591574,All-rounder,Aizaz Khan
24.28125,115.97014925373135,777,0,0.0,0.0,5.692307692307692,15,9.552884615384617,Batsman,Anshuman Rath
4.909090909090909,80.0,108,78,11.987179487179487,11.85897435897436,6.064864864864864,5,774.0066339066339,Bowler,Ehsan Khan
14.9375,136.57142857142856,239,12,19.166666666666668,15.0,7.666666666666666,6,115.60416666666667,All-rounder,MA Leask
7.333333333333333,107.31707317073172,44,15,30.333333333333332,25.333333333333332,7.184210526315789,6,142.46491228070175,Bowler,J Little
2.8,63.63636363636363,14,29,16.896551724137932,12.137931034482758,8.352272727272727,2,277.69545454545454,Bowler,CA Young
