balls_faced,runs,innings_played,innings,strike_rate,fours,sixes,batting_average,player
529,628.0,23,23,118.71455576559546,79.0,15.0,27.304347826086957,P Nissanka
638,814.0,26,26,127.58620689655173,78.0,35.0,31.307692307692307,BKG Mendis
381,517.0,16,16,135.6955380577428,55.0,14.0,32.3125,MDKJ Perera
159,183.0,10,10,115.09433962264151,16.0,7.0,18.3,DM de Silva
415,589.0,24,24,141.9277108433735,31.0,41.0,24.541666666666668,KIC Asalanka
155,233.0,15,15,150.32258064516128,17.0,14.0,15.533333333333333,MD Shanaka
107,137.0,21,21,128.0373831775701,9.0,8.0,6.523809523809524,PWH de Silva
161,187.0,11,11,116.14906832298138,27.0,2.0,17.0,CJ Bowes
392,538.0,21,21,137.24489795918367,48.0,21.0,25.61904761904762,TL Seifert
181,194.0,8,8,107.18232044198895,20.0,3.0,24.25,TWM Latham
450,621.0,26,26,138.0,43.0,26.0,23.884615384615383,DJ Mitchell
622,846.0,35,35,136.0128617363344,72.0,33.0,24.17142857142857,MS Chapman
191,256.0,15,15,134.03141361256544,23.0,10.0,17.066666666666666,JDS Neesham
193,255.0,18,18,132.12435233160622,13.0,13.0,14.166666666666666,R Ravindra
49,44.0,9,9,89.79591836734694,,4.0,4.888888888888889,AF Milne
2,2.0,2,2,100.0,,,1.0,HB Shipley
73,63.0,17,17,86.3013698630137,3.0,2.0,3.7058823529411766,IS Sodhi
67,33.0,13,13,49.25373134328358,3.0,,2.5384615384615383,M Theekshana
3,1.0,1,1,33.33333333333333,,,1.0,PM Liyanagamage
11,15.0,3,3,136.36363636363635,2.0,,5.0,CAK Rajitha
5,1.0,4,4,20.0,,,0.25,D Madushanka
394,574.0,21,21,145.68527918781726,43.0,44.0,27.333333333333332,FH Allen
205,230.0,13,13,112.19512195121952,24.0,6.0,17.692307692307693,DP Conway
444,550.0,24,24,123.87387387387388,42.0,21.0,22.916666666666668,GD Phillips
219,230.0,20,20,105.02283105022832,19.0,7.0,11.5,MJ Santner
32,42.0,8,8,131.25,2.0,2.0,5.25,TG Southee
16,6.0,8,8,37.5,,,0.75,LH Ferguson
239,334.0,12,12,139.7489539748954,28.0,19.0,27.833333333333332,JM Bairstow
263,343.0,19,19,130.41825095057033,32.0,15.0,18.05263157894737,WG Jacks
149,144.0,7,7,96.64429530201343,16.0,4.0,20.571428571428573,DJ Malan
283,426.0,20,20,150.53003533568904,35.0,19.0,21.3,HC Brook
378,532.0,23,23,140.74074074074073,29.0,34.0,23.130434782608695,LS Livingstone
154,185.0,14,14,120.12987012987013,6.0,13.0,13.214285714285714,MM Ali
619,933.0,28,28,150.7269789983845,89.0,44.0,33.32142857142857,JC Buttler
32,17.0,7,7,53.125,1.0,,2.4285714285714284,CJ Jordan
5,3.0,1,1,60.0,,,3.0,L Wood
23,10.0,2,2,43.47826086956522,,,5.0,AAP Atkinson
72,64.0,12,12,88.88888888888889,5.0,1.0,5.333333333333333,AU Rashid
171,198.0,13,13,115.78947368421053,13.0,6.0,15.23076923076923,SM Curran
30,38.0,6,6,126.66666666666666,4.0,2.0,6.333333333333333,Rehan Ahmed
29,37.0,6,6,127.58620689655173,1.0,3.0,6.166666666666667,BA Carse
334,412.0,23,23,123.35329341317365,55.0,9.0,17.91304347826087,SIR Dunkley
693,941.0,32,32,135.7864357864358,135.0,10.0,29.40625,DN Wyatt
422,473.0,27,27,112.08530805687205,62.0,9.0,17.51851851851852,A Capsey
629,830.0,27,27,131.95548489666135,114.0,5.0,30.74074074074074,NR Sciver-Brunt
627,748.0,34,34,119.29824561403508,77.0,13.0,22.0,HC Knight
343,443.0,30,30,129.15451895043734,46.0,8.0,14.766666666666667,AE Jones
119,147.0,15,15,123.52941176470588,21.0,1.0,9.8,DR Gibson
89,120.0,17,17,134.8314606741573,9.0,6.0,7.0588235294117645,S Ecclestone
50,54.0,10,10,108.0,6.0,,5.4,S Glenn
575,754.0,25,25,131.1304347826087,106.0,14.0,30.16,AJ Healy
951,1117.0,33,33,117.4553101997897,141.0,6.0,33.84848484848485,BL Mooney
494,603.0,28,28,122.06477732793522,82.0,10.0,21.535714285714285,TM McGrath
338,380.0,25,25,112.42603550295857,35.0,8.0,15.2,A Gardner
203,278.0,18,18,136.9458128078818,29.0,8.0,15.444444444444445,GM Harris
536,691.0,29,29,128.9179104477612,66.0,17.0,23.82758620689655,EA Perry
88,124.0,14,14,140.9090909090909,16.0,2.0,8.857142857142858,A Sutherland
157,212.0,18,18,135.03184713375796,28.0,2.0,11.777777777777779,G Wareham
113,118.0,13,13,104.42477876106196,10.0,,9.076923076923077,CE Dean
6,6.0,2,2,100.0,1.0,,3.0,JL Jonassen
6,2.0,6,6,33.33333333333333,,,0.3333333333333333,ML Schutt
479,574.0,25,25,119.8329853862213,80.0,6.0,22.96,ME Bouchier
75,93.0,13,13,124.0,11.0,2.0,7.153846153846154,FG Kemp
740,644.0,38,38,87.02702702702703,78.0,6.0,16.94736842105263,RMVD Gunaratne
972,1190.0,37,37,122.42798353909465,152.0,47.0,32.16216216216216,AC Jayangani
237,233.0,21,21,98.31223628691983,30.0,2.0,11.095238095238095,GWHM Perera
464,473.0,28,28,101.9396551724138,34.0,7.0,16.892857142857142,NND de Silva
18,22.0,3,3,122.22222222222223,1.0,,7.333333333333333,IECM Wong
6,3.0,3,3,50.0,,,1.0,KL Cross
292,286.0,27,27,97.94520547945206,27.0,2.0,10.592592592592593,MAA Sanjeewani
1013,1006.0,34,34,99.30898321816387,109.0,10.0,29.58823529411765,H Madavi
4,1.0,3,3,25.0,,,0.3333333333333333,M Gaur
71,74.0,7,7,104.22535211267605,5.0,1.0,10.571428571428571,KADA Kanchana
1110,1259.0,35,35,113.42342342342342,149.0,15.0,35.97142857142857,L Wolvaardt
979,1038.0,35,35,106.02655771195097,115.0,17.0,29.65714285714286,T Brits
442,576.0,23,23,130.31674208144796,69.0,8.0,25.043478260869566,M Kapp
436,464.0,29,29,106.42201834862387,51.0,3.0,16.0,S Luus
324,383.0,27,27,118.20987654320987,40.0,9.0,14.185185185185185,CL Tryon
498,562.0,26,26,112.85140562248996,59.0,11.0,21.615384615384617,A Bosch
300,349.0,26,26,116.33333333333333,32.0,6.0,13.423076923076923,N de Klerk
61,80.0,12,12,131.14754098360655,9.0,1.0,6.666666666666667,S Jafta
4,7.0,1,1,175.0,1.0,,7.0,S Ismail
10,6.0,4,4,60.0,,,1.5,A Khaka
20,14.0,6,6,70.0,1.0,,2.3333333333333335,N Mlaba
1092,1325.0,32,32,121.33699633699632,193.0,16.0,41.40625,HK Matthews
554,559.0,26,26,100.90252707581226,61.0,15.0,21.5,SR Taylor
547,490.0,30,30,89.57952468007313,38.0,6.0,16.333333333333332,SA Campbelle
266,208.0,17,17,78.19548872180451,17.0,,12.235294117647058,S Gajnabi
197,218.0,21,21,110.65989847715736,19.0,6.0,10.380952380952381,CA Henry
133,102.0,11,11,76.69172932330827,6.0,,9.272727272727273,CN Nation
114,112.0,14,14,98.24561403508771,10.0,,8.0,ASS Fletcher
140,112.0,13,13,80.0,9.0,2.0,8.615384615384615,Z James
36,29.0,7,7,80.55555555555556,1.0,2.0,4.142857142857143,SS Connell
178,194.0,7,7,108.98876404494382,22.0,2.0,27.714285714285715,MM Lanning
4,2.0,2,2,50.0,,,1.0,A King
5,8.0,3,3,160.0,1.0,,2.6666666666666665,D Brown
873,901.0,32,32,103.2073310423826,103.0,2.0,28.15625,SW Bates
400,441.0,27,27,110.25,39.0,11.0,16.333333333333332,SFM Devine
179,196.0,13,13,109.4972067039106,26.0,,15.076923076923077,B Bezuidenhout
702,752.0,30,30,107.12250712250713,78.0,1.0,25.066666666666666,AC Kerr
346,363.0,29,29,104.91329479768785,26.0,5.0,12.517241379310345,ML Green
63,66.0,8,8,104.76190476190477,5.0,,8.25,HM Rowe
19,10.0,2,2,52.63157894736842,,,5.0,HNK Jensen
81,88.0,12,12,108.64197530864197,8.0,1.0,7.333333333333333,LMM Tahuhu
95,109.0,13,13,114.73684210526316,11.0,1.0,8.384615384615385,JM Kerr
28,14.0,8,8,50.0,,,1.75,EJ Carson
15,7.0,6,6,46.666666666666664,,,1.1666666666666667,FC Jonas
797,811.0,36,36,101.75658720200754,93.0,6.0,22.52777777777778,Muneeba Ali
48,34.0,4,4,70.83333333333334,2.0,,8.5,Javeria Khan
394,363.0,13,13,92.13197969543148,26.0,,27.923076923076923,Bismah Maroof
512,488.0,32,32,95.3125,43.0,8.0,15.25,Nida Dar
621,567.0,29,29,91.30434782608695,62.0,2.0,19.551724137931036,Sidra Ameen
60,78.0,4,4,130.0,4.0,6.0,19.5,Ayesha Naseem
160,142.0,8,8,88.75,18.0,1.0,17.75,YH Bhatia
