balls_bowled,runs_conceded,overs,wickets,economy,bowling_average,bowling_strike_rate,player
390,594,65.0,26,9.138461538461538,22.846153846153847,15.0,AF Milne
233,322,38.5,11,8.291845493562231,29.272727272727273,21.181818181818183,BG Lister
83,144,13.5,2,10.409638554216867,72.0,41.5,HB Shipley
228,327,38.0,16,8.605263157894736,20.4375,14.25,JDS Neesham
589,765,98.1,28,7.792869269949065,27.321428571428573,21.035714285714285,IS Sodhi
584,716,97.2,29,7.356164383561644,24.689655172413794,20.137931034482758,M Theekshana
184,330,30.4,9,10.76086956521739,36.666666666666664,20.444444444444443,D Madushanka
65,97,10.5,3,8.953846153846154,32.333333333333336,21.666666666666668,PM Liyanagamage
86,151,14.2,3,10.534883720930232,50.333333333333336,28.666666666666668,C Karunaratne
543,715,90.3,42,7.900552486187846,17.023809523809526,12.928571428571429,PWH de Silva
119,167,19.5,9,8.42016806722689,18.555555555555557,13.222222222222221,MD Shanaka
136,190,22.4,8,8.382352941176471,23.75,17.0,R Ravindra
116,168,19.2,4,8.689655172413794,42.0,29.0,CAK Rajitha
41,51,6.5,4,7.463414634146341,12.75,10.25,DM de Silva
315,423,52.3,21,8.057142857142857,20.142857142857142,15.0,MJ Henry
25,44,4.1,4,10.56,11.0,6.25,CBRLS Kumara
61,101,10.1,5,9.934426229508198,20.2,12.2,L Wood
372,582,62.0,14,9.387096774193548,41.57142857142857,26.571428571428573,SM Curran
173,229,28.5,15,7.942196531791907,15.266666666666667,11.533333333333333,BA Carse
697,833,116.1,39,7.170731707317072,21.358974358974358,17.871794871794872,AU Rashid
224,303,37.2,11,8.116071428571429,27.545454545454547,20.363636363636363,MM Ali
286,435,47.4,18,9.125874125874127,24.166666666666668,15.88888888888889,LS Livingstone
431,506,71.5,30,7.044083526682135,16.866666666666667,14.366666666666667,TG Southee
318,344,53.0,23,6.490566037735849,14.956521739130435,13.826086956521738,LH Ferguson
623,696,103.5,31,6.703049759229534,22.451612903225808,20.096774193548388,MJ Santner
67,123,11.1,7,11.014925373134329,17.571428571428573,9.571428571428571,AAP Atkinson
18,41,3.0,1,13.666666666666666,41.0,18.0,WG Jacks
191,280,31.5,14,8.795811518324607,20.0,13.642857142857142,CJ Jordan
102,133,17.0,6,7.8235294117647065,22.166666666666668,17.0,KA Jamieson
186,300,31.0,14,9.677419354838708,21.428571428571427,13.285714285714286,Rehan Ahmed
714,784,119.0,45,6.588235294117648,17.42222222222222,15.866666666666667,ML Schutt
433,460,72.1,21,6.374133949191686,21.904761904761905,20.61904761904762,D Brown
639,736,106.3,39,6.910798122065728,18.871794871794872,16.384615384615383,A Gardner
142,197,23.4,10,8.32394366197183,19.7,14.2,JL Jonassen
598,625,99.4,35,6.270903010033445,17.857142857142858,17.085714285714285,G Wareham
545,553,90.5,30,6.088073394495413,18.433333333333334,18.166666666666668,A Sutherland
179,240,29.5,10,8.044692737430168,24.0,17.9,TM McGrath
545,645,90.5,30,7.100917431192661,21.5,18.166666666666668,LK Bell
44,56,7.2,1,7.636363636363637,56.0,44.0,FR Davies
288,341,48.0,11,7.104166666666666,31.0,26.181818181818183,DR Gibson
723,712,120.3,55,5.908713692946058,12.945454545454545,13.145454545454545,S Ecclestone
623,622,103.5,42,5.990369181380418,14.80952380952381,14.833333333333334,S Glenn
101,93,16.5,5,5.524752475247525,18.6,20.2,A Capsey
139,113,23.1,9,4.877697841726619,12.555555555555555,15.444444444444445,EA Perry
400,474,66.4,15,7.11,31.6,26.666666666666668,NR Sciver-Brunt
730,865,121.4,43,7.109589041095891,20.11627906976744,16.976744186046513,CE Dean
597,604,99.3,39,6.07035175879397,15.487179487179487,15.307692307692308,KDU Prabodhani
658,666,109.4,32,6.0729483282674765,20.8125,20.5625,BMSM Kumari
562,573,93.4,35,6.117437722419929,16.37142857142857,16.057142857142857,AC Jayangani
173,171,28.5,10,5.930635838150289,17.1,17.3,K Kavindi
461,478,76.5,28,6.221258134490238,17.071428571428573,16.464285714285715,I Ranaweera
635,692,105.5,39,6.538582677165354,17.743589743589745,16.28205128205128,WK Dilhari
90,133,15.0,4,8.866666666666667,33.25,22.5,KL Cross
82,98,13.4,2,7.170731707317072,49.0,41.0,M Gaur
569,536,94.5,33,5.6520210896309315,16.242424242424242,17.242424242424242,SIP Fernando
60,68,10.0,2,6.8,34.0,30.0,IECM Wong
160,146,26.4,8,5.475,18.25,20.0,S Ismail
558,531,93.0,26,5.709677419354839,20.423076923076923,21.46153846153846,M Kapp
569,653,94.5,20,6.885764499121265,32.65,28.45,A Khaka
759,799,126.3,36,6.316205533596838,22.194444444444443,21.083333333333332,N Mlaba
643,778,107.1,25,7.259720062208398,31.12,25.72,N de Klerk
319,355,53.1,13,6.677115987460814,27.307692307692307,24.53846153846154,WGAKK Kulasuriya
147,147,24.3,3,6.0,49.0,49.0,KADA Kanchana
182,219,30.2,8,7.219780219780219,27.375,22.75,OU Ranasinghe
105,125,17.3,6,7.142857142857142,20.833333333333332,17.5,KH Sciver-Brunt
355,397,59.1,11,6.709859154929578,36.09090909090909,32.27272727272727,CA Henry
389,450,64.5,19,6.940874035989718,23.68421052631579,20.473684210526315,SS Connell
650,738,108.2,43,6.812307692307693,17.162790697674417,15.116279069767442,HK Matthews
45,42,7.3,0,5.6,,,SC Selman
684,766,114.0,40,6.719298245614036,19.15,17.1,ASS Fletcher
157,208,26.1,5,7.949044585987261,41.6,31.4,Z James
458,558,76.2,30,7.310043668122271,18.6,15.266666666666667,LMM Tahuhu
522,592,87.0,18,6.804597701149426,32.888888888888886,29.0,FC Jonas
348,411,58.0,6,7.086206896551724,68.5,58.0,JM Kerr
37,52,6.1,4,8.432432432432433,13.0,9.25,HNK Jensen
659,699,109.5,46,6.364188163884673,15.195652173913043,14.326086956521738,AC Kerr
465,511,77.3,29,6.593548387096774,17.620689655172413,16.03448275862069,EJ Carson
141,149,23.3,7,6.340425531914894,21.285714285714285,20.142857142857142,A King
692,718,115.2,37,6.22543352601156,19.405405405405407,18.7027027027027,Renuka Singh
900,885,150.0,53,5.8999999999999995,16.69811320754717,16.9811320754717,DB Sharma
193,167,32.1,9,5.191709844559585,18.555555555555557,21.444444444444443,RS Gayakwad
493,521,82.1,38,6.34077079107505,13.710526315789474,12.973684210526315,RP Yadav
588,641,98.0,36,6.540816326530612,17.805555555555557,16.333333333333332,P Vastrakar
64,56,10.4,5,5.25,11.2,12.8,Shafali Verma
531,640,88.3,24,7.231638418079095,26.666666666666668,22.125,Fatima Sana
858,837,143.0,50,5.853146853146853,16.74,17.16,Sadia Iqbal
61,91,10.1,0,8.950819672131148,,,Aiman Anwer
694,775,115.4,29,6.70028818443804,26.724137931034484,23.93103448275862,Nida Dar
676,588,112.4,32,5.218934911242604,18.375,21.125,Nashra Sandhu
173,204,28.5,5,7.075144508670521,40.8,34.6,Jahanara Alam
84,121,14.0,0,8.642857142857142,,,Salma Khatun
477,482,79.3,18,6.062893081761007,26.77777777777778,26.5,Marufa Akter
791,839,131.5,39,6.36409608091024,21.512820512820515,20.28205128205128,Nahida Akter
171,191,28.3,10,6.701754385964913,19.1,17.1,Ritu Moni
302,387,50.2,15,7.688741721854305,25.8,20.133333333333333,Shorna Akter
454,474,75.4,29,6.2643171806167395,16.344827586206897,15.655172413793103,O Prendergast
161,184,26.5,8,6.857142857142857,23.0,20.125,J Maguire
123,129,20.3,6,6.2926829268292686,21.5,20.5,EAJ Richardson
568,571,94.4,47,6.03169014084507,12.148936170212766,12.085106382978724,AN Kelly
385,411,64.1,21,6.405194805194805,19.571428571428573,18.333333333333332,C Murray
118,132,19.4,6,6.711864406779661,22.0,19.666666666666668,L Paul
481,459,80.1,37,5.725571725571726,12.405405405405405,13.0,L Delany
121,131,20.1,4,6.495867768595041,32.75,30.25,D Tucker
548,570,91.2,19,6.240875912408759,30.0,28.842105263157894,CL Tryon
533,535,88.5,30,6.02251407129456,17.833333333333332,17.766666666666666,Fahima Khatun
54,46,9.0,0,5.111111111111111,,,Rumana Ahmed
110,107,18.2,9,5.836363636363637,11.88888888888889,12.222222222222221,DP Vaidya
486,531,81.0,24,6.555555555555555,22.125,20.25,K Ramharack
54,68,9.0,1,7.555555555555555,68.0,54.0,S Gajnabi
311,398,51.5,12,7.678456591639872,33.166666666666664,25.916666666666668,Tuba Hassan
26,47,4.2,3,10.846153846153847,15.666666666666666,8.666666666666666,Aliya Riaz
