balls_faced,runs,innings_played,fours,sixes,innings,strike_rate,batting_average,player
2265,3120.0,103,309.0,125.0,103,137.74834437086093,30.29126213592233,AJ Finch
116,143.0,3,12.0,2.0,3,123.27586206896552,47.666666666666664,M Klinger
698,1093.0,36,114.0,53.0,36,156.59025787965618,30.36111111111111,TM Head
292,355.0,21,17.0,15.0,21,121.57534246575344,16.904761904761905,MC Henriques
133,110.0,14,4.0,2.0,14,82.70676691729322,7.857142857142857,AJ Turner
143,159.0,18,7.0,5.0,18,111.18881118881119,8.833333333333334,JP Faulkner
78,82.0,9,7.0,3.0,9,105.12820512820514,9.11111111111111,TD Paine
127,155.0,25,11.0,7.0,25,122.04724409448819,6.2,PJ Cummins
374,480.0,27,61.0,9.0,27,128.3422459893048,17.77777777777778,N Dickwella
348,407.0,26,42.0,12.0,26,116.95402298850574,15.653846153846153,WU Tharanga
172,215.0,13,25.0,7.0,13,125.0,16.53846153846154,EMDY Munaweera
183,225.0,12,19.0,6.0,12,122.95081967213115,18.75,DAS Gunaratne
217,275.0,19,16.0,12.0,19,126.72811059907833,14.473684210526315,TAM Siriwardana
589,675.0,36,56.0,24.0,36,114.60101867572156,18.75,CK Kapugedera
176,214.0,20,13.0,13.0,20,121.59090909090908,10.7,S Prasanna
70,99.0,5,8.0,6.0,5,141.42857142857144,19.8,BR Dunk
79,83.0,15,5.0,4.0,15,105.0632911392405,5.533333333333333,AJ Tye
51,45.0,8,3.0,1.0,8,88.23529411764706,5.625,JA Richardson
1427,1810.0,72,154.0,77.0,72,126.83952347582341,25.13888888888889,BKG Mendis
184,196.0,29,14.0,5.0,29,106.5217391304348,6.758620689655173,KMDN Kulasekara
164,136.0,33,9.0,5.0,33,82.92682926829268,4.121212121212121,SL Malinga
1223,1428.0,89,104.0,71.0,89,116.76206050695012,16.04494382022472,MD Shanaka
18,20.0,5,3.0,,5,111.11111111111111,4.0,JRMVB Sanjaya
1577,1896.0,87,158.0,64.0,87,120.2282815472416,21.79310344827586,Nizakat Khan
878,945.0,69,66.0,27.0,69,107.63097949886105,13.695652173913043,Aizaz Khan
1354,1721.0,67,107.0,104.0,67,127.10487444608567,25.686567164179106,Babar Hayat
933,1011.0,48,104.0,13.0,48,108.36012861736334,21.0625,Anshuman Rath
292,296.0,42,15.0,12.0,42,101.36986301369863,7.0476190476190474,Ehsan Khan
134,156.0,13,6.0,11.0,13,116.4179104477612,12.0,Tanwir Afzal
315,322.0,21,23.0,10.0,21,102.22222222222221,15.333333333333334,Shahid Wasif
723,720.0,41,77.0,14.0,41,99.5850622406639,17.5609756097561,WTS Porterfield
17,15.0,1,1.0,1.0,1,88.23529411764706,15.0,DA Rankin
6,4.0,1,,,1,66.66666666666666,4.0,SP Terry
84,109.0,7,12.0,5.0,7,129.76190476190476,15.571428571428571,JNK Shannon
1248,1571.0,77,133.0,66.0,77,125.88141025641026,20.4025974025974,KJ O'Brien
79,93.0,4,13.0,1.0,4,117.72151898734178,23.25,GJ Thompson
110,134.0,14,10.0,4.0,14,121.81818181818183,9.571428571428571,AR McBrine
931,1144.0,55,109.0,26.0,55,122.87862513426424,20.8,L Tucker
5,1.0,1,,,1,20.0,1.0,J Mulder
144,123.0,26,10.0,3.0,26,85.41666666666666,4.730769230769231,J Little
97,70.0,22,5.0,2.0,22,72.16494845360825,3.1818181818181817,CA Young
459,512.0,26,59.0,13.0,26,111.54684095860567,19.692307692307693,CJ Chibhabha
1140,1230.0,54,117.0,40.0,54,107.89473684210526,22.77777777777778,H Masakadza
228,264.0,18,17.0,14.0,18,115.78947368421053,14.666666666666666,R Mutumbami
1544,2033.0,84,151.0,105.0,84,131.67098445595855,24.202380952380953,Sikandar Raza
371,507.0,24,36.0,24.0,24,136.6576819407008,21.125,MN Waller
124,113.0,12,8.0,2.0,12,91.12903225806451,9.416666666666666,CT Mutombodzi
554,769.0,46,54.0,46.0,46,138.80866425992778,16.717391304347824,E Chigumbura
90,62.0,17,2.0,,17,68.88888888888889,3.6470588235294117,AG Cremer
63,62.0,8,4.0,3.0,8,98.4126984126984,7.75,N Madziva
1599,2149.0,66,181.0,96.0,66,134.39649781113195,32.56060606060606,KL Rahul
129,146.0,7,14.0,2.0,7,113.17829457364341,20.857142857142858,Mandeep Singh
51,42.0,5,5.0,,5,82.35294117647058,8.4,AT Rayudu
583,709.0,33,49.0,19.0,33,121.6123499142367,21.484848484848484,MK Pandey
102,122.0,6,12.0,3.0,6,119.6078431372549,20.333333333333332,KM Jadhav
1317,1584.0,83,114.0,49.0,83,120.27334851936217,19.08433734939759,MS Dhoni
400,523.0,43,39.0,23.0,43,130.75,12.162790697674419,AR Patel
3,1.0,1,,,1,33.33333333333333,1.0,R Dhawan
249,313.0,15,19.0,21.0,15,125.70281124497993,20.866666666666667,PJ Moor
134,122.0,10,6.0,5.0,10,91.04477611940298,12.2,DT Tiripano
2,0.0,1,,,1,0.0,0.0,T Muzarabani
2,1.0,1,,,1,50.0,1.0,DS Kulkarni
498,498.0,25,52.0,11.0,25,100.0,19.92,V Sibanda
91,86.0,10,5.0,4.0,10,94.5054945054945,8.6,T Maruma
1406,1624.0,71,172.0,45.0,71,115.5049786628734,22.87323943661972,Tamim Iqbal
141,119.0,13,14.0,3.0,13,84.39716312056737,9.153846153846153,Imrul Kayes
816,939.0,43,88.0,29.0,43,115.0735294117647,21.837209302325583,Sabbir Rahman
1929,2295.0,110,234.0,49.0,110,118.97356143079317,20.863636363636363,Shakib Al Hasan
1215,1434.0,82,143.0,54.0,82,118.0246913580247,17.48780487804878,Soumya Sarkar
1960,2223.0,118,166.0,71.0,118,113.41836734693878,18.838983050847457,Mahmudullah
277,296.0,26,19.0,10.0,26,106.8592057761733,11.384615384615385,Mosaddek Hossain
230,291.0,35,26.0,15.0,35,126.52173913043478,8.314285714285715,Mashrafe Mortaza
385,445.0,41,27.0,16.0,41,115.5844155844156,10.853658536585366,Nurul Hasan
36,20.0,14,1.0,,14,55.55555555555556,1.4285714285714286,Rubel Hossain
68,73.0,7,8.0,1.0,7,107.35294117647058,10.428571428571429,NT Broom
2072,2537.0,88,242.0,59.0,88,122.44208494208495,28.829545454545453,KS Williamson
1134,1729.0,62,133.0,107.0,62,152.46913580246914,27.887096774193548,C Munro
576,697.0,34,40.0,35.0,34,121.00694444444444,20.5,CJ Anderson
233,279.0,17,24.0,7.0,17,119.74248927038627,16.41176470588235,TC Bruce
383,505.0,39,27.0,30.0,39,131.8537859007833,12.948717948717949,C de Grandhomme
263,359.0,26,30.0,14.0,26,136.50190114068442,13.807692307692308,L Ronchi
654,944.0,63,72.0,51.0,63,144.34250764525993,14.984126984126984,JDS Neesham
