balls_bowled,runs_conceded,overs,wickets,economy,bowling_average,bowling_strike_rate,player
1911,2304,318.3,124,7.233908948194662,18.580645161290324,15.411290322580646,SL Malinga
1234,1492,205.4,72,7.254457050243111,20.72222222222222,17.13888888888889,KMDN Kulasekara
183,257,30.3,10,8.426229508196721,25.7,18.3,JRMVB Sanjaya
310,364,51.4,12,7.04516129032258,30.333333333333332,25.833333333333332,S Prasanna
484,568,80.4,24,7.041322314049587,23.666666666666668,20.166666666666668,PADLR Sandakan
152,206,25.2,5,8.131578947368421,41.2,30.4,DAS Gunaratne
1269,1545,211.3,69,7.304964539007093,22.391304347826086,18.391304347826086,PJ Cummins
443,556,73.5,29,7.530474040632054,19.17241379310345,15.275862068965518,B Stanlake
523,707,87.1,36,8.110898661567877,19.63888888888889,14.527777777777779,JP Faulkner
718,1010,119.4,52,8.440111420612814,19.423076923076923,13.807692307692308,AJ Tye
2036,2453,339.2,115,7.228880157170924,21.330434782608695,17.704347826086956,A Zampa
83,83,13.5,4,6.0,20.75,20.75,AJ Turner
64,93,10.4,2,8.71875,46.5,32.0,EMDY Munaweera
415,562,69.1,20,8.125301204819277,28.1,20.75,JA Richardson
142,198,23.4,7,8.366197183098592,28.285714285714285,20.285714285714285,MC Henriques
135,192,22.3,9,8.533333333333333,21.333333333333332,15.0,TAM Siriwardana
502,656,83.4,30,7.840637450199203,21.866666666666667,16.733333333333334,MD Shanaka
37,56,6.1,1,9.08108108108108,56.0,37.0,TM Head
1268,1534,211.2,66,7.2586750788643535,23.242424242424242,19.21212121212121,J Little
1267,1690,211.1,82,8.003157063930544,20.609756097560975,15.451219512195122,CA Young
617,719,102.5,48,6.991896272285252,14.979166666666666,12.854166666666666,KJ O'Brien
334,393,55.4,19,7.0598802395209574,20.68421052631579,17.57894736842105,AR McBrine
74,62,12.2,7,5.027027027027027,8.857142857142858,10.571428571428571,J Mulder
321,373,53.3,17,6.97196261682243,21.941176470588236,18.88235294117647,Tanwir Afzal
387,419,64.3,25,6.496124031007753,16.76,15.48,Nadeem Ahmed
1469,1809,244.5,93,7.388699795779441,19.451612903225808,15.795698924731182,Aizaz Khan
67,109,11.1,5,9.761194029850746,21.8,13.4,Ehsan Nawaz
1652,1692,275.2,122,6.145278450363197,13.868852459016393,13.540983606557377,Ehsan Khan
59,90,9.5,2,9.152542372881356,45.0,29.5,Tanveer Ahmed
223,306,37.1,15,8.233183856502242,20.4,14.866666666666667,JD Unadkat
25,42,4.1,1,10.08,42.0,25.0,R Dhawan
1512,1624,252.0,92,6.444444444444445,17.652173913043477,16.434782608695652,JJ Bumrah
1221,1522,203.3,72,7.479115479115479,21.13888888888889,16.958333333333332,AR Patel
1820,2431,303.2,100,8.014285714285714,24.31,18.2,YS Chahal
307,390,51.1,13,7.62214983713355,30.0,23.615384615384617,DT Tiripano
260,346,43.2,15,7.984615384615385,23.066666666666666,17.333333333333332,N Madziva
136,218,22.4,5,9.617647058823529,43.6,27.2,T Muzarabani
248,324,41.2,13,7.838709677419354,24.923076923076923,19.076923076923077,CJ Chibhabha
1400,1584,233.2,77,6.788571428571428,20.571428571428573,18.181818181818183,Sikandar Raza
487,563,81.1,30,6.93634496919918,18.766666666666666,16.233333333333334,AG Cremer
53,46,8.5,6,5.2075471698113205,7.666666666666667,8.833333333333334,BB Sran
50,61,8.2,3,7.32,20.333333333333332,16.666666666666668,DS Kulkarni
1177,1403,196.1,64,7.152081563296516,21.921875,18.390625,TL Chatara
140,216,23.2,7,9.257142857142858,30.857142857142858,20.0,BM Wheeler
454,622,75.4,28,8.220264317180616,22.214285714285715,16.214285714285715,MJ Henry
945,1095,157.3,66,6.9523809523809526,16.59090909090909,14.318181818181818,LH Ferguson
336,470,56.0,15,8.392857142857142,31.333333333333332,22.4,C de Grandhomme
2306,2648,384.2,122,6.889852558542932,21.704918032786885,18.901639344262296,MJ Santner
2417,2819,402.5,138,6.9979313198179565,20.42753623188406,17.514492753623188,Shakib Al Hasan
1068,1453,178.0,39,8.162921348314606,37.256410256410255,27.384615384615383,Mashrafe Mortaza
556,860,92.4,29,9.280575539568344,29.655172413793103,19.17241379310345,Rubel Hossain
2232,2727,372.0,135,7.330645161290322,20.2,16.533333333333335,Mustafizur Rahman
286,354,47.4,15,7.426573426573427,23.6,19.066666666666666,Mosaddek Hossain
287,416,47.5,12,8.696864111498257,34.666666666666664,23.916666666666668,Soumya Sarkar
861,1049,143.3,38,7.310104529616725,27.605263157894736,22.657894736842106,Mahmudullah
1394,1786,232.2,78,7.687230989956959,22.897435897435898,17.871794871794872,TA Boult
2486,3246,414.2,140,7.834271922767498,23.185714285714287,17.757142857142856,IS Sodhi
120,164,20.0,6,8.2,27.333333333333332,20.0,KS Williamson
1485,1884,247.3,82,7.612121212121211,22.975609756097562,18.109756097560975,Taskin Ahmed
721,1061,120.1,41,8.829403606102636,25.878048780487806,17.585365853658537,JDS Neesham
2879,3822,479.5,175,7.965265717262939,21.84,16.451428571428572,TG Southee
119,186,19.5,4,9.378151260504202,46.5,29.75,C Munro
